entity_id,num_source_files,source_files,company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,is_gmp_facility,is_commercial,website_url_status,address_street_status,contact_name_status,contact_email_status,is_gmp_facility_status,is_commercial_status,company_name_clean,is_hq,name
ENT-000012,1,env_labs_standardized.csv,Accurate Environmental Labs - OKC,,TNI02407,,Stillwater,Oklahoma,,,env_labs,https://www.accuratelabs.com/,Danny Chance,Danny@accuratelabs.com,,,,,,,,found_via_search,found_via_fallback_search,found_via_fallback_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Accurate Environmental Labs OKC,True,HQ Lab @ Accurate Environmental Labs OKC
ENT-000013,1,env_labs_standardized.csv,Accurate Environmental Labs - Stillwater,,TNI01938,,Stillwater,Oklahoma,,,env_labs,https://www.accuratelabs.com/,,,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Accurate Environmental Labs,True,HQ Lab @ Accurate Environmental Labs
ENT-000014,1,env_labs_standardized.csv,Accurate Environmental Labs - Tulsa,,TNI02539,,Stillwater,Oklahoma,,,env_labs,https://www.accuratelabs.com/,,danny@accuratelabs.com,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Accurate Environmental Labs Tulsa,True,HQ Lab @ Accurate Environmental Labs Tulsa
ENT-000015,1,env_labs_standardized.csv,ACCUSTAR LABS,,TNI02980,,HARRISBURG,Pennsylvania,,,env_labs,https://www.accustarlabs.com/,,radonlabpa@accustarlabs.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=18483)",found_via_fallback_search,extracted,extracted,ACCUSTAR LABS,False,Harrisburg Lab @ ACCUSTAR LABS
ENT-000016,1,env_labs_standardized.csv,ACCUSTAR LABS,,TNI01776,2 Saber Way,WARD HILL,Massachusetts,,,env_labs,https://www.accustarlabs.com/,,,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=18483)","checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=18483)",extracted,extracted,ACCUSTAR LABS,False,Ward Hill Lab @ ACCUSTAR LABS
ENT-000017,1,env_labs_standardized.csv,"Ackuritlabs, Inc.",,TNI00248,3345 N Monroe St Ste B,Tallahassee,Florida,,,env_labs,https://www.ackuritlabs.com/,Todd Acker,[email protected],,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Ackuritlabs,True,HQ Lab @ Ackuritlabs
ENT-000018,1,env_labs_standardized.csv,"ACZ Laboratories, Inc.",,TNI01951,2773 Downhill Drive,Steamboat Springs,Colorado,,,env_labs,https://acz.com/,Mark McNeal ext. 104,[email protected],,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,ACZ Laboratories,True,HQ Lab @ ACZ Laboratories
ENT-000019,1,env_labs_standardized.csv,ADIRONDACK ENVIRONMENTAL SERVICES INC,,TNI01595,314 N. Pearl Street,ALBANY,New York,,,env_labs,https://www.adirondackenvironmental.com/,,[email protected],,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=7,total_text_chars=18951)",extracted,extracted,extracted,ADIRONDACK ENVIRONMENTAL SERVICES,True,HQ Lab @ ADIRONDACK ENVIRONMENTAL SERVICES
ENT-000020,1,env_labs_standardized.csv,"Advanced Analysis, Inc.",,TNI00175,,Lubbock,Texas,,,env_labs,http://www.aainc.biz/,,,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Advanced Analysis,True,HQ Lab @ Advanced Analysis
ENT-000021,1,env_labs_standardized.csv,"Advanced Analytical Laboratories, LLC",,TNI00143,15040 State Highway 110 S,Whitehouse,Texas,,,env_labs,http://advancedanalyticallabs.com/,"Mr. John Alexander, President",,,,,,,,,found_via_search,found_via_fallback_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Advanced Analytical Laboratories,True,HQ Lab @ Advanced Analytical Laboratories
ENT-000022,1,env_labs_standardized.csv,ADVANCED ANALYTICAL TECHNOLOGIES,,TNI01758,37 Ramland Road,PEARL RIVER,New York,,,env_labs,https://www.aatec.com/,Kathleen Farrell,moc/cetaa//taa,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,ADVANCED ANALYTICAL TECHNOLOGIES,True,HQ Lab @ ADVANCED ANALYTICAL TECHNOLOGIES
ENT-000023,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc.",,TNI00252,6681 Southpoint Parkway,Jacksonville,Florida,,,env_labs,https://aellab.com/,Jason Gebhardt,sales@aellab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Advanced Environmental Laboratories,False,Jacksonville Lab @ Advanced Environmental Laboratories
ENT-000024,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Fort Myers",,TNI00552,"13100 Westlinks Terrace, Suite 10",Fort Myers,Florida,,,env_labs,https://aellab.com/,"Sindi-Gerbi, Lab Manager",sales@aellab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Advanced Environmental Laboratories,False,Fort Myers Lab @ Advanced Environmental Laboratories
ENT-000025,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Gainesville",,TNI00253,4965 SW 41st Blvd.,Gainesville,Florida,,,env_labs,https://aellab.com/,"Kara Erps, Lab Manager",sales@aellab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Advanced Environmental Laboratories,False,Gainesville Lab @ Advanced Environmental Laboratories
ENT-000026,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Lake Placid",,TNI02827,125 Tower Street,Lake Placid,Florida,,,env_labs,https://aellab.com/,"Jennifer Mazen, Lab Manager",sales@aellab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Advanced Environmental Laboratories,False,Lake Placid Lab @ Advanced Environmental Laboratories
ENT-000027,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Miami",,TNI00254,10200 USA Today Way Miramar,Miramar,Florida,,,env_labs,https://aellab.com/,"Jesse Cutshaw, Lab Manager",sales@aellab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Advanced Environmental Laboratories,False,Miramar Lab @ Advanced Environmental Laboratories
ENT-000028,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Orlando",,TNI00255,"380 North Lake Blvd., Suite 1048",Altamonte Springs,Florida,,,env_labs,https://aellab.com/,"Brandon O’Hara, Lab Manager",JSnead@aellab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,found_via_fallback_search,extracted,extracted,Advanced Environmental Laboratories,False,Altamonte Springs Lab @ Advanced Environmental Laboratories
ENT-000029,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Tallahassee",,TNI02195,2639 North Monroe St. Suite D,Tallahassee,Florida,,,env_labs,https://aellab.com/,Aly Garcia,sales@aellab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Advanced Environmental Laboratories,False,Tallahassee Lab @ Advanced Environmental Laboratories
ENT-000030,1,env_labs_standardized.csv,"Advanced Environmental Laboratories, Inc. - Tampa",,TNI00256,9610 Princess Palm Avenue,Tampa,Florida,,,env_labs,https://aellab.com/,"Michael Cammarata, Lab Manager",sales@aellab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Advanced Environmental Laboratories,False,Tampa Lab @ Advanced Environmental Laboratories
ENT-000031,1,env_labs_standardized.csv,Advanced Technology Laboratories,,TNI01202,,Signal Hill,California,,,env_labs,https://atlglobal.com/,,customer.relations@atlglobal.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=3,fetched_ok=3,total_text_chars=2269)",extracted,extracted,extracted,Advanced Technology Laboratories,True,HQ Lab @ Advanced Technology Laboratories
ENT-000032,1,env_labs_standardized.csv,AG Environmental RSC LLC (DBA Sullivan County Labs),,TNI02607,86 Queen Mountain Rd,Ferndale,New York,,,env_labs,https://www.agerny.com/,Jerry Berger,jberger@agerny.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,found_via_fallback_search,extracted,extracted,AG Environmental RSC,True,HQ Lab @ AG Environmental RSC
ENT-000033,1,env_labs_standardized.csv,AGAT LABORATORIES - CALGARY - 2420,,TNI03017,,Calgary,Alberta,,,env_labs,https://agatlabs.com/,,info@agatlabs.com,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",AGAT LABORATORIES CALGARY 2420,True,HQ Lab @ AGAT LABORATORIES CALGARY 2420
ENT-000034,1,env_labs_standardized.csv,AGAT LABORATORIES INC,,TNI02519,"9770 Route Transcanadienne, St-Laurent, QC H4S 1V9",ST-LAURENT,Not Applicable,,,env_labs,https://agatlabs.com/,,info@agatlabs.com,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",AGAT LABORATORIES,True,HQ Lab @ AGAT LABORATORIES
ENT-000035,1,env_labs_standardized.csv,AGQ USA,,TNI02648,,Oxnard,California,,,env_labs,https://www.agqlabs.us.com/,Jeff Briceno Castillo,customerservice@agqlabs.com,,,,,,,,found_via_search,found_via_fallback_search,found_via_fallback_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",AGQ USA,True,HQ Lab @ AGQ USA
ENT-000036,1,env_labs_standardized.csv,AIR CHEK,,TNI01701,,MILLS RIVER,North Carolina,,,env_labs,https://www.airchekprm.com/,Shawn Price,shawn@radon.com,,,,,,,,found_via_search,found_via_fallback_search,found_via_fallback_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",AIR CHEK,True,HQ Lab @ AIR CHEK
ENT-000037,1,env_labs_standardized.csv,"Air Hygiene International, Inc.",,TNI02280,1600 West Tacoma St,Broken Arrow,Oklahoma,,,env_labs,https://www.airhygiene.com/,"JJ Cavender, CCO",jcavender@airhygiene.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,extracted,extracted,extracted,Air Hygiene International,True,HQ Lab @ Air Hygiene International
ENT-000038,1,env_labs_standardized.csv,Air Technology Laboratories Inc,,TNI00258,"18501 E Gale Ave, STE 130",City of Industry,California,,,env_labs,https://airtechlabs.com/,,info@airtechlabs.com,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Air Technology Laboratories,True,HQ Lab @ Air Technology Laboratories
ENT-000039,1,env_labs_standardized.csv,AIRNOVA INC,,TNI01274,3485 Haddonfield Rd.,PENNSAUKEN,New Jersey,,,env_labs,https://www.airnova.com/,Mark Daly,info@airnova.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,extracted,extracted,extracted,AIRNOVA,True,HQ Lab @ AIRNOVA
ENT-000040,1,env_labs_standardized.csv,AKRON (V) SEWAGE PLANT,,TNI01589,21 Main Street,AKRON,New York,,,env_labs,https://www4.erie.gov/akron/,Robert Brady,brady@akronvillage.us,,,,,,no_explicit_gmp,False,found_via_search,extracted,extracted,extracted,extracted,"checked_pages_not_found (pages_checked=4,fetched_ok=4,total_text_chars=16747)",AKRON V SEWAGE PLANT,True,HQ Lab @ AKRON V SEWAGE PLANT
ENT-000041,1,env_labs_standardized.csv,Alabama Power Company General Testing Laboratory,,TNI02392,"744 County Road 87, GSC #8",Calera,Alabama,,,env_labs,https://www.alabamapower.com/,Laura Midkiff,lbmidkif@southernco.com,,,,,,no_explicit_gmp,False,found_via_search,found_via_fallback_search,found_via_fallback_search,found_via_fallback_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=31799)",Alabama Power Company General Testing Laboratory,True,HQ Lab @ Alabama Power Company General Testing Laboratory
ENT-000042,1,env_labs_standardized.csv,"Alamo Analytical Laboratories, Ltd.",,TNI00144,,San Antonio,Texas,,,env_labs,https://alamoanalytical.com/,"Dr. Reddy Gosala, Ph.D",reports@alamoanalytical.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,extracted,extracted,extracted,Alamo Analytical Laboratories,False,San Antonio Lab @ Alamo Analytical Laboratories
ENT-000043,1,env_labs_standardized.csv,"Alamo Analytical Laboratories, Ltd. - El Paso",,TNI02256,2500 Montana Ave,El Paso,Texas,,,env_labs,https://alamoanalytical.com/,,reports@alamoanalytical.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=4,fetched_ok=4,total_text_chars=9746)",extracted,extracted,extracted,Alamo Analytical Laboratories,False,El Paso Lab @ Alamo Analytical Laboratories
ENT-000044,1,env_labs_standardized.csv,ALBANY COUNTY WATER PURIFICATION DISTRICT,,TNI01453,,MENANDS,New York,,,env_labs,https://www.albanycountyny.gov/departments/water-purification-district,,Angelo.Gaudio@albanycountyny.gov,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",ALBANY COUNTY WATER PURIFICATION DISTRICT,True,HQ Lab @ ALBANY COUNTY WATER PURIFICATION DISTRICT
ENT-000045,1,env_labs_standardized.csv,ALBANY WATER QUALITY LAB,,TNI01433,,SELKIRK,New York,,,env_labs,https://www.albanyny.gov/,,,,,,,,no_explicit_gmp,False,found_via_search,found_via_fallback_search,"checked_pages_not_found (pages_checked=3,fetched_ok=2,total_text_chars=8892)","checked_pages_not_found (pages_checked=3,fetched_ok=2,total_text_chars=8892)",extracted,"checked_pages_not_found (pages_checked=3,fetched_ok=2,total_text_chars=8892)",ALBANY WATER QUALITY LAB,True,HQ Lab @ ALBANY WATER QUALITY LAB
ENT-000046,1,env_labs_standardized.csv,Albert Lea Wastewater Treatment Plant,,TNI01098,17424 780th Avenue,Albert Lea,Minnesota,,,env_labs,https://www.cityofalbertlea.org/departments/wastewater-treatment-plant/,Brandon Huston,bhuston@ci.albertlea.mn.us,,,,,,,,found_via_search,found_via_fallback_search,found_via_fallback_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Albert Lea Wastewater Treatment Plant,True,HQ Lab @ Albert Lea Wastewater Treatment Plant
ENT-000047,1,env_labs_standardized.csv,ALBION (V) WATER PLANT,,TNI01698,961 Wilson Rd,WATERPORT,New York,,,env_labs,https://villageofalbionny.gov/departments/water-treatment-plant,Levi Boyer – Chief Operator,,,,,,,no_explicit_gmp,False,found_via_search,extracted,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=1,total_text_chars=5607)",extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=1,total_text_chars=5607)",ALBION V WATER PLANT,True,HQ Lab @ ALBION V WATER PLANT
ENT-000048,1,env_labs_standardized.csv,Albion Environmental,,TNI00050,1414 Soquel Avenue Suite 205; 3563 Sueldo Street Suite P,Bryan,Texas,,,env_labs,https://www.albionenvironmental.com/,,snicchitta@albionenvironmental.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=5,fetched_ok=5,total_text_chars=9076)",found_via_fallback_search,extracted,extracted,Albion Environmental,True,HQ Lab @ Albion Environmental
ENT-000049,1,env_labs_standardized.csv,"Alexin Analytical Laboratories, Inc.",,TNI00196,13035 SW Pacific Highway,Tigard,Oregon,,,env_labs,https://alexinlabs.com/,,mail@alexinlabs.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=40572)",extracted,extracted,extracted,Alexin Analytical Laboratories,True,HQ Lab @ Alexin Analytical Laboratories
ENT-000050,1,env_labs_standardized.csv,ALLAB INC,,TNI02836,1544 E 13th St,BROOKLYN,New York,,,env_labs,https://www.allab.org/,,lab@allab.org,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=8,total_text_chars=25958)",extracted,extracted,extracted,ALLAB,True,HQ Lab @ ALLAB
ENT-000051,1,env_labs_standardized.csv,ALLEGANY COUNTY COMMUNITY ENVIRONMENTAL LABORATORY,,TNI02587,7 Court Street,BELMONT,New York,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,ALLEGANY COUNTY COMMUNITY ENVIRONMENTAL LABORATORY,True,HQ Lab @ ALLEGANY COUNTY COMMUNITY ENVIRONMENTAL LABORATORY
ENT-000052,1,env_labs_standardized.csv,Alliance Source Testing LLC - Mobile Unit,,TNI02595,255 Grant St. SE Ste 600,Decatur,Alabama,,,env_labs,https://www.alliancetg.com/,,info@alliancetg.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=7,total_text_chars=31621)",extracted,extracted,extracted,Alliance Source Testing,True,HQ Lab @ Alliance Source Testing
ENT-000053,1,env_labs_standardized.csv,Alliance Technical Group,,TNI02400,255 Grant St. SE Ste 600,Decatur,Alabama,,,env_labs,https://www.alliancetg.com/,,info@alliancetg.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=8,fetched_ok=1,total_text_chars=1357)",extracted,extracted,extracted,Alliance Technical Group,False,Decatur Lab @ Alliance Technical Group
ENT-000054,1,env_labs_standardized.csv,Alliance Technical Group,,TNI00203,12242 SW Garden Place,Tigard,Oregon,,,env_labs,https://www.alliancetg.com/,,info@alliancetg.com,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Alliance Technical Group,False,Tigard Lab @ Alliance Technical Group
ENT-000055,1,env_labs_standardized.csv,"Alliance Technical Group - Carrollton, Texas",,TNI00167,,Carrollton,Texas,,,env_labs,https://www.alliancetg.com/,,info@alliancetg.com,,,,,,,,found_via_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",Alliance Technical Group Carrollton Texas,True,HQ Lab @ Alliance Technical Group Carrollton Texas
ENT-000056,1,env_labs_standardized.csv,Alliance Technical Group - Greenville,,TNI00551,255 Grant St. SE Ste 600,Greenville,South Carolina,,,env_labs,https://www.alliancetg.com/,Rebecca Musick,info@alliancetg.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,extracted,extracted,extracted,Alliance Technical Group,False,Greenville Lab @ Alliance Technical Group
ENT-000057,1,env_labs_standardized.csv,"ALLIANCE TECHNICAL GROUP, LLC",,TNI01322,,WILMINGTON,North Carolina,,,env_labs,https://alliancetg.com/,,info@alliancetg.com,,,,,,,,found_via_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)",ALLIANCE TECHNICAL GROUP,False,Wilmington Lab @ ALLIANCE TECHNICAL GROUP
ENT-000058,1,env_labs_standardized.csv,"ALLIANCE TECHNICAL GROUP, LLC - NEWARK",,TNI01285,284 Sheffield Street,MOUNTAINSIDE,New Jersey,,,env_labs,https://www.chemtech.net/,,mohammad.ahmed@alliancetg.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=7,fetched_ok=7,total_text_chars=18149)",extracted,extracted,extracted,ALLIANCE TECHNICAL GROUP,False,Mountainside Lab @ ALLIANCE TECHNICAL GROUP
ENT-000059,1,env_labs_standardized.csv,"Alliance Technical Group, LLC - Seattle",,TNI02227,3600 Fremont Avenue N,Seattle,Washington,,,env_labs,https://www.fremontanalytical.com/,,info.seattle@alliancetg.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,"checked_pages_not_found (pages_checked=3,fetched_ok=3,total_text_chars=5416)",extracted,extracted,extracted,Alliance Technical Group,False,Seattle Lab @ Alliance Technical Group
