lab_id,company_name,lab_name,street_address,city,state,zip_code,is_hq,company_url,contact_name,contact_email,latitude,longitude,lab_type,data_source,phone_number,clia_number,specialty,date_collected
CLIA_CA_00039,Santa Monica Dermatology Group,Santa Monica Dermatology Group,"2001 Santa Monica Blvd, Ste 990",Santa Monica,CA,90404,,,,,,,clinical,CMS_CLIA,(310) 829-4484,05D0550289,Routine Chemistry,20240708
CLIA_CA_00040,Pacific Urology Institute  Medical Grp,Pacific Urology Institute  Medical Grp,2021 Santa Monica Blvd Ste 510 E,Santa Monica,CA,90404,,,,,,,clinical,CMS_CLIA,(818) 207-7409,05D0550315,Routine Chemistry,20170919
CLIA_CA_00041,Westside Internal Medicine Laboratory,Westside Internal Medicine Laboratory,"2121 Wilshire Blvd, 3rd Fl Lab",Santa Monica,CA,90403,,,,,,,clinical,CMS_CLIA,(310) 264-0762,05D0550324,Routine Chemistry,20241105
CLIA_CA_00042,"Rebecca Di Mundo, Md Inc","Rebecca Di Mundo, Md Inc",2210 Santa Monica Blvd Suite A,Santa Monica,CA,90404,,,,,,,clinical,CMS_CLIA,(310) 829-3525,05D0550327,Routine Chemistry,19971024
CLIA_CA_00043,Zong Lang Tsai,Zong Lang Tsai,3011 West Artesia Boulevard,Torrance,CA,90504,,,,,,,clinical,CMS_CLIA,(310) 329-6395,05D0550814,Routine Chemistry,20010226
CLIA_CA_00044,Pacific Dermatology Specialists,Pacific Dermatology Specialists,23451 Madison St Ste 190,Torrance,CA,90505,,,,,,,clinical,CMS_CLIA,(217) 503-0983,05D0550965,Routine Chemistry,20200106
CLIA_CA_00045,"Simone A  Mckitty, Md Inc","Simone A  Mckitty, Md Inc",3440 W Lomita Blvd Ste 442,Torrance,CA,90505,,,,,,,clinical,CMS_CLIA,(310) 530-5451,05D0551024,Routine Chemistry,20251202
CLIA_CA_00046,"Genesis Healthcare Partners, Pc","Genesis Healthcare Partners, Pc",23600 Telo Ave Ste 220,Torrance,CA,90505,,,,,,,clinical,CMS_CLIA,(310) 534-8400,05D0551298,Routine Chemistry,20130102
CLIA_CA_00047,"Soledad O Lee, Md, Inc Laboratory","Soledad O Lee, Md, Inc Laboratory",6888 Lincoln Ave Suite M,Buena Park,CA,90620,,,,,,,clinical,CMS_CLIA,(714) 828-8400,05D0551701,Routine Chemistry,19960626
CLIA_CA_00048,Healthcare Partners Affiliates Medical Group,Healthcare Partners Affiliates Medical Group,6900 Lincoln Ave,Buena Park,CA,90620,,,,,,,clinical,CMS_CLIA,(562) 988-7027,05D0551816,Routine Chemistry,19960807
CLIA_CA_00049,"La Mirada Medical Weight Control, Inc","La Mirada Medical Weight Control, Inc",15022 Mulberry Drive Suite A,Whittier,CA,90604,,,,,,,clinical,CMS_CLIA,(562) 777-7700,05D0552051,Routine Chemistry,20030307
CLIA_CA_00050,Coast Plaza Hospital Clinical Laboratory,Coast Plaza Hospital Clinical Laboratory,13100 Studebaker Rd,Norwalk,CA,90650,,,,,,,clinical,CMS_CLIA,(562) 868-3751,05D0552357,Routine Chemistry,20100518
CLIA_CA_00051,Unilab Corporation Dba Quest Diagnostics,Unilab Corporation Dba Quest Diagnostics,245 Terracina Blvd  Ste 104B,Redlands,CA,92373,,,,,,,clinical,CMS_CLIA,(909) 335-6328,05D0552553,Routine Chemistry,19931028
CLIA_CA_00052,"Genesis Healthcare Partners, Pc","Genesis Healthcare Partners, Pc",20911 Earl Street Suite 140,Torrance,CA,90503,,,,,,,clinical,CMS_CLIA,(310) 542-0199,05D0553069,Routine Chemistry,19950914
CLIA_CA_00053,Los Alamitos Hematology/Oncology,Los Alamitos Hematology/Oncology,3801 Katella Ave Ste 207,Los Alamitos,CA,90720,,,,,,,clinical,CMS_CLIA,(562) 598-9745,05D0553321,Routine Chemistry,20240422
CLIA_CA_00054,Alamitos Dermatological Medical Clinic Inc,Alamitos Dermatological Medical Clinic Inc,3801 Katella Ave Ste 425,Los Alamitos,CA,90720,,,,,,,clinical,CMS_CLIA,(562) 598-8593,05D0553338,Routine Chemistry,20240926
CLIA_CA_00055,"Coast Urological Medical Group, Inc","Coast Urological Medical Group, Inc",3771 Katella Ave Ste 210,Los Alamitos,CA,90720,,,,,,,clinical,CMS_CLIA,(562) 430-0581,05D0553361,Routine Chemistry,20220509
CLIA_CA_00056,Consolidated Medical Bio-Analysis Inc,Consolidated Medical Bio-Analysis Inc,10700 Walker St,Cypress,CA,90630,,,,,,,clinical,CMS_CLIA,(714) 657-7369,05D0553364,Routine Chemistry,20091124
CLIA_CA_00057,"Knd Real Estate 40, Llc","Knd Real Estate 40, Llc",16453  Colorado Ave,Paramount,CA,90723,,,,,,,clinical,CMS_CLIA,(562) 531-3110,05D0553458,Routine Chemistry,20060718
CLIA_CA_00058,Cor Healthcare Medical Associates,Cor Healthcare Medical Associates,1360 W 6th Ste 315,San Pedro,CA,90732,,,,,,,clinical,CMS_CLIA,(310) 547-9922,05D0553670,Routine Chemistry,20180111
CLIA_CA_00059,Healthcare Partners Affiliates,Healthcare Partners Affiliates,1081 Long Beach Blvd,Long Beach,CA,90813,,,,,,,clinical,CMS_CLIA,(562) 988-7027,05D0553866,Routine Chemistry,19970626
CLIA_CA_00060,R Nandan Md Inc,R Nandan Md Inc,"3650 East South St, Ste 212",Lakewood,CA,90712,,,,,,,clinical,CMS_CLIA,(562) 272-7630,05D0554022,Routine Chemistry,20250924
CLIA_CA_00061,Alan Heller Md,Alan Heller Md,"1760 Termino Ave, Ste 114",Long Beach,CA,90804,,,,,,,clinical,CMS_CLIA,(562) 498-2459,05D0554055,Routine Chemistry,20241216
CLIA_CA_00062,Healthcare Partners Affiliates,Healthcare Partners Affiliates,6226 E Spring St,Long Beach,CA,90815,,,,,,,clinical,CMS_CLIA,(562) 988-7027,05D0554213,Routine Chemistry,19970729
CLIA_CA_00063,Atlantic Urology Medical Group,Atlantic Urology Medical Group,701 East 28th Street  #319,Long Beach,CA,90806,,,,,,,clinical,CMS_CLIA,(562) 595-5977,05D0554349,Routine Chemistry,20060816
CLIA_CA_00064,Columbia Pediatrics Medical Group Inc,Columbia Pediatrics Medical Group Inc,3833 Worsham Ave Ste 301,Long Beach,CA,90808,,,,,,,clinical,CMS_CLIA,(562) 595-5479,05D0554369,Routine Chemistry,20010821
CLIA_CA_00065,Prohealth Partners,Prohealth Partners,"10861 Cherry St,  Ste 308",Los Alamitos,CA,90720,,,,,,,clinical,CMS_CLIA,(562) 595-1961,05D0554404,Routine Chemistry,19960711
CLIA_CA_00066,Healthcare Partners Affiliates Medical Group,Healthcare Partners Affiliates Medical Group,2699 Atlantic Ave,Long Beach,CA,90806,,,,,,,clinical,CMS_CLIA,(562) 988-7027,05D0554421,Routine Chemistry,20090218
CLIA_CA_00067,Ulmer & Wu Dermatology,Ulmer & Wu Dermatology,"1045 Atlantic Ave, Ste 819",Long Beach,CA,90813,,,,,,,clinical,CMS_CLIA,(562) 435-5621,05D0554824,Routine Chemistry,20241203
CLIA_CA_00068,"Amy Tran, Md","Amy Tran, Md",3325 Palo Verde Ave #101,Long Beach,CA,90808,,,,,,,clinical,CMS_CLIA,(562) 420-1349,05D0555025,Routine Chemistry,19960625
CLIA_CA_00069,Ronald J Philipp Do,Ronald J Philipp Do,2255 North Lakewood Boulevard,Long Beach,CA,90815,,,,,,,clinical,CMS_CLIA,(562) 498-8000,05D0555048,Routine Chemistry,20030127
CLIA_CA_00070,"Shapiro, Stafford, Yee & Polansky, P C","Shapiro, Stafford, Yee & Polansky, P C",622 W Duarte Road #202,Arcadia,CA,91007,,,,,,,clinical,CMS_CLIA,(626) 446-4461,05D0555273,Routine Chemistry,19981120
CLIA_CA_00071,Csi Medical Group,Csi Medical Group,"289 W Huntington Dr, Ste 208",Arcadia,CA,91007,,,,,,,clinical,CMS_CLIA,(626) 446-8809,05D0555281,Routine Chemistry,20250325
CLIA_CA_00072,"Foothill Primary Care, Inc","Foothill Primary Care, Inc",931 Buena Vista Ste 205,Duarte,CA,91010,,,,,,,clinical,CMS_CLIA,(626) 358-1897,05D0555415,Routine Chemistry,19990322
CLIA_CA_00073,Descanso Dermatology Medical Group,Descanso Dermatology Medical Group,1346 Foothill Blvd Ste 203,La Canada,CA,91011,,,,,,,clinical,CMS_CLIA,(818) 790-6726,05D0555481,Routine Chemistry,20250326
CLIA_CA_00074,Huntington Plaza Pediatric,Huntington Plaza Pediatric,800 Fairmount Ave 110,Pasadena,CA,91105,,,,,,,clinical,CMS_CLIA,(626) 795-7051,05D0556180,Routine Chemistry,19951207
CLIA_CA_00075,Bruce B Bagheri Md,Bruce B Bagheri Md,1560 E Chevy Chase Dr Ste 445,Glendale,CA,91206,,,,,,,clinical,CMS_CLIA,(818) 247-3938,05D0556550,Routine Chemistry,19960517
CLIA_CA_00076,Altitude Pulmonary And,Altitude Pulmonary And,435 Arden Ave Ste 310,Glendale,CA,91203,,,,,,,clinical,CMS_CLIA,(818) 247-6676,05D0556637,Routine Chemistry,20250501
CLIA_CA_00077,Dermatology Arts,Dermatology Arts,245 Fair Oaks Ave,South Pasadena,CA,91030,,,,,,,clinical,CMS_CLIA,(626) 333-7773,05D0556743,Routine Chemistry,20250325
CLIA_CA_00078,Michael E Borok Md,Michael E Borok Md,"17075 Devonshire St, Ste 203",Northridge,CA,91325,,,,,,,clinical,CMS_CLIA,(818) 832-7898,05D0556967,Routine Chemistry,20250424
CLIA_CA_00079,Glendale Pediatrics,Glendale Pediatrics,1500 East Chevy Chase Drive Suite #250,Glendale,CA,91206,,,,,,,clinical,CMS_CLIA,(818) 246-7260,05D0556976,Routine Chemistry,20000406
CLIA_CA_00080,Skin And Beauty Center - West Hills,Skin And Beauty Center - West Hills,"7345 Medical Center Dr, Ste 310",West Hills,CA,91307,,,,,,,clinical,CMS_CLIA,(818) 884-8044,05D0557210,Routine Chemistry,20240703
CLIA_CA_00081,Pediatric Affiliates Medical Group,Pediatric Affiliates Medical Group,29525 Canwood St Ste 111,Agoura Hills,CA,91301,,,,,,,clinical,CMS_CLIA,(818) 706-8133,05D0557261,Routine Chemistry,19941128
CLIA_CA_00082,Omid S Shaye Md,Omid S Shaye Md,"7320 Woodlake Ave, Ste 330",West Hills,CA,91307,,,,,,,clinical,CMS_CLIA,(818) 346-1773,05D0557525,Routine Chemistry,20251209
CLIA_CA_00083,Agoura-West Valley Pediatric,Agoura-West Valley Pediatric,"7320 Woodlake Ave,  Ste 270",West Hills,CA,91307,,,,,,,clinical,CMS_CLIA,(818) 340-3822,05D0557570,Routine Chemistry,20160201
CLIA_CA_00084,Pediatric Affiliates Medical Group Inc,Pediatric Affiliates Medical Group Inc,7345 Medical Center Dr Ste 400,West Hills,CA,91307,,,,,,,clinical,CMS_CLIA,(818) 883-0460,05D0557605,Routine Chemistry,19940928
CLIA_CA_00085,Brian  Fenmore Md,Brian  Fenmore Md,18344 Clark Street #202,Tarzana,CA,91356,,,,,,,clinical,CMS_CLIA,(818) 708-8011,05D0557721,Routine Chemistry,19960712
CLIA_CA_00086,"Drs Bruckner,Bruckner,Lederer,Krasnoff","Drs Bruckner,Bruckner,Lederer,Krasnoff",5400 Balboa Boulevard #326,Encino,CA,91316,,,,,,,clinical,CMS_CLIA,(818) 789-0492,05D0557736,Routine Chemistry,20020129
CLIA_CA_00087,Skin And Beauty Center,Skin And Beauty Center,"9535 Reseda Blvd, Ste 304",Northridge,CA,91324,,,,,,,clinical,CMS_CLIA,(818) 886-3884,05D0558065,Routine Chemistry,20251113
CLIA_CA_00088,Xavier J Caro Md,Xavier J Caro Md,18350 Roscoe Blvd Ste 418,Northridge,CA,91325,,,,,,,clinical,CMS_CLIA,(818) 993-0125,05D0558189,Routine Chemistry,20150415
CLIA_CA_00089,Boris Ratiner Md Inc,Boris Ratiner Md Inc,18386 Ventura Blvd,Tarzana,CA,91356,,,,,,,clinical,CMS_CLIA,(818) 996-4077,05D0558190,Routine Chemistry,20240919
CLIA_CA_00090,Mehboob Sachani Md,Mehboob Sachani Md,18350 Roscoe Blvd Ste 205,Northridge,CA,91325,,,,,,,clinical,CMS_CLIA,(818) 993-0506,05D0558227,Routine Chemistry,19960718
CLIA_CA_00091,Robert Flores Md Inc,Robert Flores Md Inc,11273 Laurel Canyon Blvd,San Fernando,CA,91340,,,,,,,clinical,CMS_CLIA,(818) 365-3978,05D0558550,Routine Chemistry,19960514
CLIA_CA_00092,Concentra Medical Centers - Santa Clarita,Concentra Medical Centers - Santa Clarita,21515 Soledad Canyon Rd Ste 101,Santa Clarita,CA,91350,,,,,,,clinical,CMS_CLIA,(661) 799-1776,05D0558885,Routine Chemistry,19941108
CLIA_CA_00093,Dermatology Surgical-Medical,Dermatology Surgical-Medical,23861 Mcbean Pkwy Ste C8,Valencia,CA,91355,,,,,,,clinical,CMS_CLIA,(661) 259-7333,05D0559019,Routine Chemistry,20251203
CLIA_CA_00094,Laurence M Silverstein Md Inc,Laurence M Silverstein Md Inc,5620 Wilbur Ave Ste 200,Tarzana,CA,91356,,,,,,,clinical,CMS_CLIA,(818) 345-2323,05D0559119,Routine Chemistry,20060126
CLIA_CA_00095,Taaly Silberstein Md,Taaly Silberstein Md,18399 Ventura Blvd Ste 239,Tarzana,CA,91356,,,,,,,clinical,CMS_CLIA,(818) 996-3200,05D0559168,Routine Chemistry,20090302
CLIA_CA_00096,Los Angeles Heart Specialists,Los Angeles Heart Specialists,"18370 Burbank Blvd, Ste 401",Tarzana,CA,91356,,,,,,,clinical,CMS_CLIA,(818) 996-4100,05D0559170,Routine Chemistry,20231116
CLIA_CA_00097,Tarzana Pediatric Group,Tarzana Pediatric Group,18370 Burbank Boulevard Suite 204,Tarzana,CA,91356,,,,,,,clinical,CMS_CLIA,(818) 345-7792,05D0559321,Routine Chemistry,20071010
CLIA_CA_00098,Valley Dermatologic Medical Group,Valley Dermatologic Medical Group,18364 Clark St,Tarzana,CA,91356,,,,,,,clinical,CMS_CLIA,(818) 345-7122,05D0559333,Routine Chemistry,20230418
CLIA_CA_00099,Conejo Dermatology,Conejo Dermatology,"55 Rolling Oaks Dr, Ste 200",Thousand Oaks,CA,91361,,,,,,,clinical,CMS_CLIA,(805) 497-7529,05D0559414,Routine Chemistry,20251007
CLIA_CA_00100,"Menteer Internal Medicine, Inc","Menteer Internal Medicine, Inc",227 W Janss Rd Ste 305,Thousand Oaks,CA,91360,,,,,,,clinical,CMS_CLIA,(805) 449-4181,05D0559456,Routine Chemistry,19960729
CLIA_CA_00101,"Conejo Medical And Breast Care Center, A Med Corp","Conejo Medical And Breast Care Center, A Med Corp",3180 Willow Ln Ste 200,Westlake Village,CA,91361,,,,,,,clinical,CMS_CLIA,(805) 497-3239,05D0559475,Routine Chemistry,20161208
CLIA_CA_00102,Los Robles Hospital And Medical Center,Los Robles Hospital And Medical Center,215 W Janss Rd,Thousand Oaks,CA,91360,,,,,,,clinical,CMS_CLIA,(805) 370-4441,05D0559511,Routine Chemistry,20080605
CLIA_CA_00103,"Coastal Kids, A Professional Medical Corp","Coastal Kids, A Professional Medical Corp","33 W Thousand Oaks Blvd, Ste A-2",Thousand Oaks,CA,91360,,,,,,,clinical,CMS_CLIA,(714) 842-0444,05D0559512,Routine Chemistry,20120412
CLIA_CA_00104,Thousand Oaks Pediatrics,Thousand Oaks Pediatrics,1000 Newbury Road #200,Newbury Park,CA,91320,,,,,,,clinical,CMS_CLIA,(805) 480-3730,05D0559734,Routine Chemistry,19981006
CLIA_CA_00105,Edward Taras Md Inc,Edward Taras Md Inc,6325 Topanga Cyn Blvd Ste 535,Woodland Hills,CA,91367,,,,,,,clinical,CMS_CLIA,(818) 887-0050,05D0559992,Routine Chemistry,19970924
CLIA_CA_00106,Healthcare Partners Affiliates Medical Group,Healthcare Partners Affiliates Medical Group,15216 Vanowen Street Ste 1A,Van Nuys,CA,91405,,,,,,,clinical,CMS_CLIA,(562) 988-7027,05D0560085,Routine Chemistry,20020923
CLIA_CA_00107,Octapharma Plasma Inc,Octapharma Plasma Inc,6454 Van Nuys Blvd Ste 100,Van Nuys,CA,91401,,,,,,,clinical,CMS_CLIA,(818) 997-6033,05D0560137,Routine Chemistry,20220217
CLIA_CA_00108,Genesis Healthcare Partners Pc,Genesis Healthcare Partners Pc,5522 Sepulveda Blvd,Sherman Oaks,CA,91411,,,,,,,clinical,CMS_CLIA,(818) 990-5020,05D0560511,Routine Chemistry,20251031
CLIA_CA_00109,Robert Hartman Md,Robert Hartman Md,"5400 Balboa Blvd, Ste 329",Encino,CA,91316,,,,,,,clinical,CMS_CLIA,(818) 907-7076,05D0560613,Routine Chemistry,20250417
CLIA_CA_00110,Pediatric Associates Medical Group Inc,Pediatric Associates Medical Group Inc,4330 Fulton Ave,Sherman Oaks,CA,91423,,,,,,,clinical,CMS_CLIA,(818) 784-1102,05D0560868,Routine Chemistry,19950227
CLIA_CA_00111,Ken S Honbo Md / Arash Nourparvar Md,Ken S Honbo Md / Arash Nourparvar Md,"16311 Ventura Blvd, Ste 880",Encino,CA,91436,,,,,,,clinical,CMS_CLIA,(818) 783-2000,05D0560960,Routine Chemistry,20240827
CLIA_CA_00112,Norman A Brooks Md,Norman A Brooks Md,"16311 Ventura Blvd, Ste 690",Encino,CA,91436,,,,,,,clinical,CMS_CLIA,(818) 907-8144,05D0561010,Routine Chemistry,20241112
CLIA_CA_00113,Raoof Md Dermatology Lab,Raoof Md Dermatology Lab,"16133 Ventura Blvd, Ste 340",Encino,CA,91436,,,,,,,clinical,CMS_CLIA,(818) 788-5060,05D0561079,Routine Chemistry,20240910
CLIA_CA_00114,Laboratory Fertility Services,Laboratory Fertility Services,"16030 Ventura Blvd, Ste 404",Encino,CA,91436,,,,,,,clinical,CMS_CLIA,(818) 728-4600,05D0561139,Routine Chemistry,19950802
CLIA_CA_00115,"Valley Pediatric Medical Group, Inc","Valley Pediatric Medical Group, Inc",5353 Balboa Blvd Ste 104,Encino,CA,91316,,,,,,,clinical,CMS_CLIA,(818) 789-7181,05D0561202,Routine Chemistry,20180405
CLIA_CA_00116,Urology Associates Medical Group,Urology Associates Medical Group,2701 W Alameda Ave  Suite 200,Burbank,CA,91505,,,,,,,clinical,CMS_CLIA,(818) 853-9679,05D0561522,Routine Chemistry,20180718
CLIA_CA_00117,"Sandeep Kapoor, Md Inc","Sandeep Kapoor, Md Inc",12311 Ventura Boulevard,Studio City,CA,91604,,,,,,,clinical,CMS_CLIA,(818) 762-1167,05D0561753,Routine Chemistry,19980625
CLIA_CA_00118,"Raimel Y Perez-Pasiliao, Md Inc","Raimel Y Perez-Pasiliao, Md Inc",12574 Central Ave,Chino,CA,91710,,,,,,,clinical,CMS_CLIA,(909) 627-7433,05D0562202,Routine Chemistry,19950210
CLIA_CA_00119,Healthcare Partners Affiliates Medical Group,Healthcare Partners Affiliates Medical Group,420 W Rowland St,Covina,CA,91723,,,,,,,clinical,CMS_CLIA,(562) 988-7027,05D0562709,Routine Chemistry,19970305
