lab_id,company_name,lab_name,street_address,city,state,zip_code,is_hq,company_url,contact_name,contact_email,latitude,longitude,lab_type,data_source,phone_number,clia_number,specialty,date_collected,npi_number,official_name,official_title,official_phone
CLIA_CA_00015,"Brian E Dubow, Md","Brian E Dubow, Md","435 N Roxbury Dr, Ste 204",Beverly Hills,CA,90210,,,,,34.067567,-118.406509,clinical,CMS_CLIA,(310) 888-4070,05D0544604,Routine Chemistry,20250610,,,,
CLIA_CA_00016,Corday Medical Group Lab,Corday Medical Group Lab,8635 W 3rd St Ste 485W,Los Angeles,CA,90048,,,,,34.073633,-118.379915,clinical,CMS_CLIA,(310) 855-8081,05D0544614,Routine Chemistry,20251216,,,,
CLIA_CA_00017,Emmanuel Brandeis Md,Emmanuel Brandeis Md,292 S La Cienega # 100,Beverly Hills,CA,90211,,,,,34.062811,-118.37604,clinical,CMS_CLIA,(310) 855-7504,05D0544616,Routine Chemistry,19961030,,,,
CLIA_CA_00018,Tower Urology Inc,Tower Urology Inc,"8635 W Third St, Ste 1W",Los Angeles,CA,90048,,,,,34.073633,-118.379915,clinical,CMS_CLIA,(310) 854-9898,05D0544900,Routine Chemistry,20250611,1861422941,AZITA PAKRAVAN,CEO,3108549898
CLIA_CA_00019,Jason A Rothbart Md,Jason A Rothbart Md,"10309 Santa Monica Blvd, Suite 300",Los Angeles,CA,90025,,,,,34.059312,-118.421745,clinical,CMS_CLIA,(310) 552-3232,05D0545802,Routine Chemistry,19950502,,,,
CLIA_CA_00020,Scrc Medical Group Pc,Scrc Medical Group Pc,"450 N Roxbury Dr,  #500",Beverly Hills,CA,90210,,,,,34.067856,-118.406629,clinical,CMS_CLIA,(310) 246-4948,05D0546234,Routine Chemistry,20230816,1538704119,KYLE FRANCIS,CEO,3102772393
CLIA_CA_00021,Comprehensive Urology Medical Group,Comprehensive Urology Medical Group,8631 W 3rd St Ste 1115E,Los Angeles,CA,90048,,,,,34.073632,-118.379877,clinical,CMS_CLIA,(818) 207-7409,05D0546491,Routine Chemistry,20230831,1760406250,KIARASH MICHEL,Managing Partner,3102788330
CLIA_CA_00022,Cardiovascular Medical Group,Cardiovascular Medical Group,"414 N Camden Dr,Ste 680",Beverly Hills,CA,90210,,,,,34.068777,-118.404139,clinical,CMS_CLIA,(310) 278-3400,05D0546492,Routine Chemistry,20260129,,,,
CLIA_CA_00023,Dermatology Associates Of Beverly Hills,Dermatology Associates Of Beverly Hills,"465 N Roxbury Dr, Ste 803",Beverly Hills,CA,90210,,,,,34.067975,-118.406924,clinical,CMS_CLIA,(310) 274-9954,05D0546501,Routine Chemistry,20250909,1649098971,WENDY HOFFMAN,Partner,3102749954
CLIA_CA_00024,Harry W Saperstein Md,Harry W Saperstein Md,8920 Wilshire Blvd Ste 545,Beverly Hills,CA,90211,,,,,34.066981,-118.386428,clinical,CMS_CLIA,(310) 854-3003,05D0546645,Routine Chemistry,20240815,,,,
CLIA_CA_00025,Protzel Pathology Laboratory,Protzel Pathology Laboratory,"9735 Wilshire Blvd, Ste 241",Beverly Hills,CA,90212,,,,,34.067131,-118.407708,clinical,CMS_CLIA,(310) 858-0874,05D0547058,Routine Chemistry,20250610,1518006014,RICHARD PROTZEL,Pathologist Owner,3108580874
CLIA_CA_00026,"Prostate Oncology Specialist, Inc","Prostate Oncology Specialist, Inc","4560 Admiralty Way, Ste 111",Marina Del Rey,CA,90292,,,,,33.983183,-118.442668,clinical,CMS_CLIA,(310) 827-7707,05D0547251,Routine Chemistry,20241008,,,,
CLIA_CA_00027,Healthcare Partners Affiliates Medical Group,Healthcare Partners Affiliates Medical Group,8311 East Florence Avenue,Downey,CA,90240,,,,,33.951382,-118.125461,clinical,CMS_CLIA,(562) 988-7027,05D0547356,Routine Chemistry,19970616,,,,
CLIA_CA_00028,Pacific Dermatology Specialists,Pacific Dermatology Specialists,"11525 Brookshire Ave, Ste 101",Downey,CA,90241,,,,,33.935864,-118.131553,clinical,CMS_CLIA,(562) 923-6450,05D0547476,Routine Chemistry,20240731,,,,
CLIA_CA_00029,Laboratory Corporation,Laboratory Corporation,19750 S Vermont Ave,Torrance,CA,90502,,,,,33.85174,-118.290447,clinical,CMS_CLIA,(949) 230-0428,05D0548117,Routine Chemistry,20020418,,,,
CLIA_CA_00030,Michael B Scott Md Inc,Michael B Scott Md Inc,3637 Martin Luther King Jr Blvd Ste B,Lynwood,CA,90262,,,,,33.929765,-118.201504,clinical,CMS_CLIA,(310) 537-9230,05D0548259,Routine Chemistry,20230426,,,,
CLIA_CA_00031,St. Francis Medical Center,St. Francis Medical Center,3630 E Imperial Hwy,Lynwood,CA,90262,,,,,,,clinical,CMS_CLIA,(310) 900-8610,05D0548351,Routine Chemistry,20070925,1194317776,CHRISTOPHER DOAN,Managing Associate General Counsel,3102594706
CLIA_CA_00032,"Marcos Yang, Md","Marcos Yang, Md",310 Tejon Place,Palos Verdes Estates,CA,90274,,,,,33.799732,-118.39035,clinical,CMS_CLIA,(310) 375-2403,05D0548628,Routine Chemistry,20030624,,,,
CLIA_CA_00033,Healthcare Partners Affiliates,Healthcare Partners Affiliates,"25210 Crenshaw Blvd,  Ste 100",Torrance,CA,90505,,,,,33.795648,-118.328334,clinical,CMS_CLIA,(562) 988-7027,05D0548686,Routine Chemistry,20000601,,,,
CLIA_CA_00034,Reproductive Partners Medical Group Inc,Reproductive Partners Medical Group Inc,23440 Hawthrone Blvd  Suite 230,Torrance,CA,90505,,,,,33.813106,-118.350928,clinical,CMS_CLIA,(310) 318-3010,05D0548755,Routine Chemistry,20190614,,,,
CLIA_CA_00035,Centinela Hospital Medical Center,Centinela Hospital Medical Center,555 E Hardy St,Inglewood,CA,90301,,,,,33.94915,-118.348183,clinical,CMS_CLIA,(310) 860-8390,05D0549308,Routine Chemistry,20080507,1104005990,TROY SCHELL,Secretary / General Counsel,9092354311
CLIA_CA_00036,Inter Science Institute,Inter Science Institute,944 W Hyde Park Blvd,Inglewood,CA,90302,,,,,33.965247,-118.368706,clinical,CMS_CLIA,(310) 677-3322,05D0549406,Routine Chemistry,20000803,1013917020,NAN HEARD,Laboratory Director,3106773322
CLIA_CA_00037,Tenth Street Pediatric Medical Group Inc,Tenth Street Pediatric Medical Group Inc,1450 10th St Ste 304,Santa Monica,CA,90401,,,,,34.0203,-118.488734,clinical,CMS_CLIA,(310) 458-1714,05D0549694,Routine Chemistry,20180619,,,,
CLIA_CA_00038,William A Pullen Md,William A Pullen Md,"1301 20th St, Ste 550",Santa Monica,CA,90404,,,,,34.030028,-118.481448,clinical,CMS_CLIA,(310) 315-0231,05D0550065,Routine Chemistry,20221214,,,,
CLIA_CA_00039,Santa Monica Dermatology Group,Santa Monica Dermatology Group,"2001 Santa Monica Blvd, Ste 990",Santa Monica,CA,90404,,,,,,,clinical,CMS_CLIA,(310) 829-4484,05D0550289,Routine Chemistry,20240708,1356870067,MARIA MENDOZA,Office Manager,3108294484
CLIA_CA_00040,Pacific Urology Institute  Medical Grp,Pacific Urology Institute  Medical Grp,2021 Santa Monica Blvd Ste 510 E,Santa Monica,CA,90404,,,,,,,clinical,CMS_CLIA,(818) 207-7409,05D0550315,Routine Chemistry,20170919,,,,
CLIA_CA_00041,Westside Internal Medicine Laboratory,Westside Internal Medicine Laboratory,"2121 Wilshire Blvd, 3rd Fl Lab",Santa Monica,CA,90403,,,,,,,clinical,CMS_CLIA,(310) 264-0762,05D0550324,Routine Chemistry,20241105,,,,
CLIA_CA_00042,"Rebecca Di Mundo, Md Inc","Rebecca Di Mundo, Md Inc",2210 Santa Monica Blvd Suite A,Santa Monica,CA,90404,,,,,34.029882,-118.478431,clinical,CMS_CLIA,(310) 829-3525,05D0550327,Routine Chemistry,19971024,,,,
CLIA_CA_00043,Zong Lang Tsai,Zong Lang Tsai,3011 West Artesia Boulevard,Torrance,CA,90504,,,,,33.872982,-118.325491,clinical,CMS_CLIA,(310) 329-6395,05D0550814,Routine Chemistry,20010226,,,,
CLIA_CA_00044,Pacific Dermatology Specialists,Pacific Dermatology Specialists,23451 Madison St Ste 190,Torrance,CA,90505,,,,,33.812106,-118.347763,clinical,CMS_CLIA,(217) 503-0983,05D0550965,Routine Chemistry,20200106,,,,
CLIA_CA_00045,"Simone A  Mckitty, Md Inc","Simone A  Mckitty, Md Inc",3440 W Lomita Blvd Ste 442,Torrance,CA,90505,,,,,33.813204,-118.345152,clinical,CMS_CLIA,(310) 530-5451,05D0551024,Routine Chemistry,20251202,,,,
CLIA_CA_00046,"Genesis Healthcare Partners, Pc","Genesis Healthcare Partners, Pc",23600 Telo Ave Ste 220,Torrance,CA,90505,,,,,33.812415,-118.33812,clinical,CMS_CLIA,(310) 534-8400,05D0551298,Routine Chemistry,20130102,,,,
CLIA_CA_00047,"Soledad O Lee, Md, Inc Laboratory","Soledad O Lee, Md, Inc Laboratory",6888 Lincoln Ave Suite M,Buena Park,CA,90620,,,,,33.831806,-118.012981,clinical,CMS_CLIA,(714) 828-8400,05D0551701,Routine Chemistry,19960626,,,,
CLIA_CA_00048,Healthcare Partners Affiliates Medical Group,Healthcare Partners Affiliates Medical Group,6900 Lincoln Ave,Buena Park,CA,90620,,,,,33.831809,-118.012682,clinical,CMS_CLIA,(562) 988-7027,05D0551816,Routine Chemistry,19960807,,,,
CLIA_CA_00049,"La Mirada Medical Weight Control, Inc","La Mirada Medical Weight Control, Inc",15022 Mulberry Drive Suite A,Whittier,CA,90604,,,,,33.935131,-118.010931,clinical,CMS_CLIA,(562) 777-7700,05D0552051,Routine Chemistry,20030307,,,,
CLIA_CA_00050,Coast Plaza Hospital Clinical Laboratory,Coast Plaza Hospital Clinical Laboratory,13100 Studebaker Rd,Norwalk,CA,90650,,,,,33.91291,-118.099093,clinical,CMS_CLIA,(562) 868-3751,05D0552357,Routine Chemistry,20100518,,,,
CLIA_CA_00051,Unilab Corporation Dba Quest Diagnostics,Unilab Corporation Dba Quest Diagnostics,245 Terracina Blvd  Ste 104B,Redlands,CA,92373,,,,,34.03794,-117.205596,clinical,CMS_CLIA,(909) 335-6328,05D0552553,Routine Chemistry,19931028,,,,
CLIA_CA_00052,"Genesis Healthcare Partners, Pc","Genesis Healthcare Partners, Pc",20911 Earl Street Suite 140,Torrance,CA,90503,,,,,33.840331,-118.358088,clinical,CMS_CLIA,(310) 542-0199,05D0553069,Routine Chemistry,19950914,,,,
CLIA_CA_00053,Los Alamitos Hematology/Oncology,Los Alamitos Hematology/Oncology,3801 Katella Ave Ste 207,Los Alamitos,CA,90720,,,,,33.803233,-118.066605,clinical,CMS_CLIA,(562) 598-9745,05D0553321,Routine Chemistry,20240422,,,,
CLIA_CA_00054,Alamitos Dermatological Medical Clinic Inc,Alamitos Dermatological Medical Clinic Inc,3801 Katella Ave Ste 425,Los Alamitos,CA,90720,,,,,33.803233,-118.066605,clinical,CMS_CLIA,(562) 598-8593,05D0553338,Routine Chemistry,20240926,,,,
CLIA_CA_00055,"Coast Urological Medical Group, Inc","Coast Urological Medical Group, Inc",3771 Katella Ave Ste 210,Los Alamitos,CA,90720,,,,,33.803233,-118.066985,clinical,CMS_CLIA,(562) 430-0581,05D0553361,Routine Chemistry,20220509,,,,
CLIA_CA_00056,Consolidated Medical Bio-Analysis Inc,Consolidated Medical Bio-Analysis Inc,10700 Walker St,Cypress,CA,90630,,,,,33.807646,-118.036881,clinical,CMS_CLIA,(714) 657-7369,05D0553364,Routine Chemistry,20091124,1568454494,CHIN  FAN,PRESIDENT,7146577369
CLIA_CA_00057,"Knd Real Estate 40, Llc","Knd Real Estate 40, Llc",16453  Colorado Ave,Paramount,CA,90723,,,,,33.884901,-118.161459,clinical,CMS_CLIA,(562) 531-3110,05D0553458,Routine Chemistry,20060718,1093275786,KATHY TEAGUE,"Vice President, Corporate Secretary",6292535121
CLIA_CA_00058,Cor Healthcare Medical Associates,Cor Healthcare Medical Associates,1360 W 6th Ste 315,San Pedro,CA,90732,,,,,33.738865,-118.306726,clinical,CMS_CLIA,(310) 547-9922,05D0553670,Routine Chemistry,20180111,1699864215,ANKUSH CHHABRA,Managing Partner,3102570508
CLIA_CA_00059,Healthcare Partners Affiliates,Healthcare Partners Affiliates,1081 Long Beach Blvd,Long Beach,CA,90813,,,,,33.780561,-118.189437,clinical,CMS_CLIA,(562) 988-7027,05D0553866,Routine Chemistry,19970626,,,,
CLIA_CA_00060,R Nandan Md Inc,R Nandan Md Inc,"3650 East South St, Ste 212",Lakewood,CA,90712,,,,,33.860161,-118.150086,clinical,CMS_CLIA,(562) 272-7630,05D0554022,Routine Chemistry,20250924,,,,
CLIA_CA_00061,Alan Heller Md,Alan Heller Md,"1760 Termino Ave, Ste 114",Long Beach,CA,90804,,,,,33.788536,-118.145814,clinical,CMS_CLIA,(562) 498-2459,05D0554055,Routine Chemistry,20241216,,,,
CLIA_CA_00062,Healthcare Partners Affiliates,Healthcare Partners Affiliates,6226 E Spring St,Long Beach,CA,90815,,,,,33.810435,-118.110611,clinical,CMS_CLIA,(562) 988-7027,05D0554213,Routine Chemistry,19970729,,,,
CLIA_CA_00063,Atlantic Urology Medical Group,Atlantic Urology Medical Group,701 East 28th Street  #319,Long Beach,CA,90806,,,,,33.808062,-118.184707,clinical,CMS_CLIA,(562) 595-5977,05D0554349,Routine Chemistry,20060816,,,,
CLIA_CA_00064,Columbia Pediatrics Medical Group Inc,Columbia Pediatrics Medical Group Inc,3833 Worsham Ave Ste 301,Long Beach,CA,90808,,,,,33.828544,-118.146281,clinical,CMS_CLIA,(562) 595-5479,05D0554369,Routine Chemistry,20010821,,,,
CLIA_CA_00065,Prohealth Partners,Prohealth Partners,"10861 Cherry St,  Ste 308",Los Alamitos,CA,90720,,,,,33.804882,-118.068028,clinical,CMS_CLIA,(562) 595-1961,05D0554404,Routine Chemistry,19960711,,,,
CLIA_CA_00066,Healthcare Partners Affiliates Medical Group,Healthcare Partners Affiliates Medical Group,2699 Atlantic Ave,Long Beach,CA,90806,,,,,33.806134,-118.185083,clinical,CMS_CLIA,(562) 988-7027,05D0554421,Routine Chemistry,20090218,,,,
CLIA_CA_00067,Ulmer & Wu Dermatology,Ulmer & Wu Dermatology,"1045 Atlantic Ave, Ste 819",Long Beach,CA,90813,,,,,33.779803,-118.185096,clinical,CMS_CLIA,(562) 435-5621,05D0554824,Routine Chemistry,20241203,,,,
CLIA_CA_00068,"Amy Tran, Md","Amy Tran, Md",3325 Palo Verde Ave #101,Long Beach,CA,90808,,,,,33.817867,-118.107903,clinical,CMS_CLIA,(562) 420-1349,05D0555025,Routine Chemistry,19960625,,,,
CLIA_CA_00069,Ronald J Philipp Do,Ronald J Philipp Do,2255 North Lakewood Boulevard,Long Beach,CA,90815,,,,,33.796662,-118.142836,clinical,CMS_CLIA,(562) 498-8000,05D0555048,Routine Chemistry,20030127,,,,
CLIA_CA_00070,"Shapiro, Stafford, Yee & Polansky, P C","Shapiro, Stafford, Yee & Polansky, P C",622 W Duarte Road #202,Arcadia,CA,91007,,,,,34.12647,-118.051733,clinical,CMS_CLIA,(626) 446-4461,05D0555273,Routine Chemistry,19981120,,,,
CLIA_CA_00071,Csi Medical Group,Csi Medical Group,"289 W Huntington Dr, Ste 208",Arcadia,CA,91007,,,,,34.135578,-118.039274,clinical,CMS_CLIA,(626) 446-8809,05D0555281,Routine Chemistry,20250325,1871909804,ERIC SCHWEIGER,Owner,2122833000
CLIA_CA_00072,"Foothill Primary Care, Inc","Foothill Primary Care, Inc",931 Buena Vista Ste 205,Duarte,CA,91010,,,,,34.141309,-117.977615,clinical,CMS_CLIA,(626) 358-1897,05D0555415,Routine Chemistry,19990322,,,,
CLIA_CA_00073,Descanso Dermatology Medical Group,Descanso Dermatology Medical Group,1346 Foothill Blvd Ste 203,La Canada,CA,91011,,,,,34.207889,-118.207879,clinical,CMS_CLIA,(818) 790-6726,05D0555481,Routine Chemistry,20250326,1538161757,JOHN HONCH,PARTNER,8187906726
CLIA_CA_00074,Huntington Plaza Pediatric,Huntington Plaza Pediatric,800 Fairmount Ave 110,Pasadena,CA,91105,,,,,34.132417,-118.151713,clinical,CMS_CLIA,(626) 795-7051,05D0556180,Routine Chemistry,19951207,,,,
CLIA_CA_00075,Bruce B Bagheri Md,Bruce B Bagheri Md,1560 E Chevy Chase Dr Ste 445,Glendale,CA,91206,,,,,34.15283,-118.230365,clinical,CMS_CLIA,(818) 247-3938,05D0556550,Routine Chemistry,19960517,,,,
CLIA_CA_00076,Altitude Pulmonary And,Altitude Pulmonary And,435 Arden Ave Ste 310,Glendale,CA,91203,,,,,34.158517,-118.262318,clinical,CMS_CLIA,(818) 247-6676,05D0556637,Routine Chemistry,20250501,,,,
CLIA_CA_00077,Dermatology Arts,Dermatology Arts,245 Fair Oaks Ave,South Pasadena,CA,91030,,,,,34.123448,-118.150343,clinical,CMS_CLIA,(626) 333-7773,05D0556743,Routine Chemistry,20250325,,,,
CLIA_CA_00078,Michael E Borok Md,Michael E Borok Md,"17075 Devonshire St, Ste 203",Northridge,CA,91325,,,,,34.257592,-118.505599,clinical,CMS_CLIA,(818) 832-7898,05D0556967,Routine Chemistry,20250424,,,,
CLIA_CA_00079,Glendale Pediatrics,Glendale Pediatrics,1500 East Chevy Chase Drive Suite #250,Glendale,CA,91206,,,,,34.151934,-118.232388,clinical,CMS_CLIA,(818) 246-7260,05D0556976,Routine Chemistry,20000406,,,,
CLIA_CA_00080,Skin And Beauty Center - West Hills,Skin And Beauty Center - West Hills,"7345 Medical Center Dr, Ste 310",West Hills,CA,91307,,,,,34.203655,-118.629795,clinical,CMS_CLIA,(818) 884-8044,05D0557210,Routine Chemistry,20240703,,,,
CLIA_CA_00081,Pediatric Affiliates Medical Group,Pediatric Affiliates Medical Group,29525 Canwood St Ste 111,Agoura Hills,CA,91301,,,,,34.147353,-118.767971,clinical,CMS_CLIA,(818) 706-8133,05D0557261,Routine Chemistry,19941128,,,,
CLIA_CA_00082,Omid S Shaye Md,Omid S Shaye Md,"7320 Woodlake Ave, Ste 330",West Hills,CA,91307,,,,,34.203214,-118.632073,clinical,CMS_CLIA,(818) 346-1773,05D0557525,Routine Chemistry,20251209,,,,
CLIA_CA_00083,Agoura-West Valley Pediatric,Agoura-West Valley Pediatric,"7320 Woodlake Ave,  Ste 270",West Hills,CA,91307,,,,,34.203214,-118.632073,clinical,CMS_CLIA,(818) 340-3822,05D0557570,Routine Chemistry,20160201,,,,
CLIA_CA_00084,Pediatric Affiliates Medical Group Inc,Pediatric Affiliates Medical Group Inc,7345 Medical Center Dr Ste 400,West Hills,CA,91307,,,,,34.203655,-118.629795,clinical,CMS_CLIA,(818) 883-0460,05D0557605,Routine Chemistry,19940928,1053410506,PAMELA HANKINS,Office Manager,8188830460
CLIA_CA_00085,Brian  Fenmore Md,Brian  Fenmore Md,18344 Clark Street #202,Tarzana,CA,91356,,,,,34.169711,-118.531609,clinical,CMS_CLIA,(818) 708-8011,05D0557721,Routine Chemistry,19960712,,,,
CLIA_CA_00086,"Drs Bruckner,Bruckner,Lederer,Krasnoff","Drs Bruckner,Bruckner,Lederer,Krasnoff",5400 Balboa Boulevard #326,Encino,CA,91316,,,,,34.168841,-118.50102,clinical,CMS_CLIA,(818) 789-0492,05D0557736,Routine Chemistry,20020129,,,,
CLIA_CA_00087,Skin And Beauty Center,Skin And Beauty Center,"9535 Reseda Blvd, Ste 304",Northridge,CA,91324,,,,,34.243399,-118.536159,clinical,CMS_CLIA,(818) 886-3884,05D0558065,Routine Chemistry,20251113,,,,
CLIA_CA_00088,Xavier J Caro Md,Xavier J Caro Md,18350 Roscoe Blvd Ste 418,Northridge,CA,91325,,,,,34.220718,-118.532848,clinical,CMS_CLIA,(818) 993-0125,05D0558189,Routine Chemistry,20150415,,,,
CLIA_CA_00089,Boris Ratiner Md Inc,Boris Ratiner Md Inc,18386 Ventura Blvd,Tarzana,CA,91356,,,,,34.167646,-118.533355,clinical,CMS_CLIA,(818) 996-4077,05D0558190,Routine Chemistry,20240919,,,,
CLIA_CA_00090,Mehboob Sachani Md,Mehboob Sachani Md,18350 Roscoe Blvd Ste 205,Northridge,CA,91325,,,,,34.220718,-118.532848,clinical,CMS_CLIA,(818) 993-0506,05D0558227,Routine Chemistry,19960718,,,,
CLIA_CA_00091,Robert Flores Md Inc,Robert Flores Md Inc,11273 Laurel Canyon Blvd,San Fernando,CA,91340,,,,,34.275088,-118.449577,clinical,CMS_CLIA,(818) 365-3978,05D0558550,Routine Chemistry,19960514,,,,
CLIA_CA_00092,Concentra Medical Centers - Santa Clarita,Concentra Medical Centers - Santa Clarita,21515 Soledad Canyon Rd Ste 101,Santa Clarita,CA,91350,,,,,34.416624,-118.512344,clinical,CMS_CLIA,(661) 799-1776,05D0558885,Routine Chemistry,19941108,,,,
CLIA_CA_00093,Dermatology Surgical-Medical,Dermatology Surgical-Medical,23861 Mcbean Pkwy Ste C8,Valencia,CA,91355,,,,,,,clinical,CMS_CLIA,(661) 259-7333,05D0559019,Routine Chemistry,20251203,,,,
CLIA_CA_00094,Laurence M Silverstein Md Inc,Laurence M Silverstein Md Inc,5620 Wilbur Ave Ste 200,Tarzana,CA,91356,,,,,34.172442,-118.544661,clinical,CMS_CLIA,(818) 345-2323,05D0559119,Routine Chemistry,20060126,,,,
CLIA_CA_00095,Taaly Silberstein Md,Taaly Silberstein Md,18399 Ventura Blvd Ste 239,Tarzana,CA,91356,,,,,34.167888,-118.533638,clinical,CMS_CLIA,(818) 996-3200,05D0559168,Routine Chemistry,20090302,,,,
CLIA_CA_00096,Los Angeles Heart Specialists,Los Angeles Heart Specialists,"18370 Burbank Blvd, Ste 401",Tarzana,CA,91356,,,,,34.172202,-118.534778,clinical,CMS_CLIA,(818) 996-4100,05D0559170,Routine Chemistry,20231116,1285956870,AFSHINE EMRANI,Medical Director,8189964100
CLIA_CA_00097,Tarzana Pediatric Group,Tarzana Pediatric Group,18370 Burbank Boulevard Suite 204,Tarzana,CA,91356,,,,,34.172202,-118.534778,clinical,CMS_CLIA,(818) 345-7792,05D0559321,Routine Chemistry,20071010,,,,
CLIA_CA_00098,Valley Dermatologic Medical Group,Valley Dermatologic Medical Group,18364 Clark St,Tarzana,CA,91356,,,,,34.169713,-118.53194,clinical,CMS_CLIA,(818) 345-7122,05D0559333,Routine Chemistry,20230418,,,,
CLIA_CA_00099,Conejo Dermatology,Conejo Dermatology,"55 Rolling Oaks Dr, Ste 200",Thousand Oaks,CA,91361,,,,,34.175181,-118.872699,clinical,CMS_CLIA,(805) 497-7529,05D0559414,Routine Chemistry,20251007,,,,
CLIA_CA_00100,"Menteer Internal Medicine, Inc","Menteer Internal Medicine, Inc",227 W Janss Rd Ste 305,Thousand Oaks,CA,91360,,,,,34.206348,-118.88343,clinical,CMS_CLIA,(805) 449-4181,05D0559456,Routine Chemistry,19960729,,,,
CLIA_CA_00101,"Conejo Medical And Breast Care Center, A Med Corp","Conejo Medical And Breast Care Center, A Med Corp",3180 Willow Ln Ste 200,Westlake Village,CA,91361,,,,,34.165258,-118.83849,clinical,CMS_CLIA,(805) 497-3239,05D0559475,Routine Chemistry,20161208,,,,
CLIA_CA_00102,Los Robles Hospital And Medical Center,Los Robles Hospital And Medical Center,215 W Janss Rd,Thousand Oaks,CA,91360,,,,,34.206505,-118.882617,clinical,CMS_CLIA,(805) 370-4441,05D0559511,Routine Chemistry,20080605,1285019778,DIEM TRAN,&#65039;Clinical Pharmacist,8059071308
CLIA_CA_00103,"Coastal Kids, A Professional Medical Corp","Coastal Kids, A Professional Medical Corp","33 W Thousand Oaks Blvd, Ste A-2",Thousand Oaks,CA,91360,,,,,34.178173,-118.877627,clinical,CMS_CLIA,(714) 842-0444,05D0559512,Routine Chemistry,20120412,,,,
