ACCESSIONNUMBER,ENTITYNAME,CIK,STREET1,STREET2,CITY,STATEORCOUNTRY,ZIPCODE,TOTALAMOUNTSOLD,TOTALOFFERINGAMOUNT,FILING_DATE,source_quarter
0001878646-23-000036,"Enterin, Inc.",0001711351,2005 MARKET STREET,SUITE 3125,PHILADELPHIA,PA,19103,5099772,19999973,06-DEC-2023,2023Q4
0001612348-23-000001,"Avicena, LLC",0001612348,117 E Colorado Blvd.,Ste 510,Pasadena,CA,91105,0,10000000,06-DEC-2023,2023Q4
0000897069-23-001721,"ViruTech Systems, Inc.",0001834041,1415 WEST RIVER ROAD NORTH,,MINNEAPOLIS,MN,55411,0,7500000,05-DEC-2023,2023Q4
0001087376-23-000002,MINERVA BIOTECHNOLOGIES Corp,0001087376,40 BEAR HILL ROAD,,WALTHAM,MA,02451,4515000,8000000,05-DEC-2023,2023Q4
0001932050-23-000001,"Vetmab Biosciences, Inc.",0001932050,3639 Midway Drive,Suite B#292,SAN Diego,CA,92110,575000,5000000,05-DEC-2023,2023Q4
0001994868-23-000002,"Avalor Therapeutics, Inc.",0001994868,"6700 NE 181st St., #82506",,Kenmore,WA,98028,335000,800000,05-DEC-2023,2023Q4
0002002604-23-000001,"AlmataBio, Inc.",0002002604,"650 PONCE DE LEON AVE, STE. 300 #3315",,ATLANTA,GA,30308,2129502,3999998,04-DEC-2023,2023Q4
0002002222-23-000001,"VentSafe, Inc.",0002002222,90 URBANO DRIVE,,SAN FRANCISCO,CA,94127,20000,500000,01-DEC-2023,2023Q4
0001919892-23-000003,TPEG NANO QP INVESTORS LLC,0001853083,2102 E State Hwy 114,STE 300,SOUTHLAKE,TX,76092,2170000,10000000,30-NOV-2023,2023Q4
0001437749-23-033249,"Pneumeric, Inc.",0001892733,823 4th Street SW,,Rochester,MN,55902,0,3500000,30-NOV-2023,2023Q4
0001949231-23-000001,"Keliomics, Inc.",0001949231,4640 S. MACADAM AVENUE,SUITE 270,PORTLAND,OR,97239,2275000,7000000,30-NOV-2023,2023Q4
0001615594-23-000060,"3Helix, Inc.",0002001622,"675 ARAPEEN DR., STE. 302",,SALT LAKE CITY,UT,84108,3749987,6000000,29-NOV-2023,2023Q4
0001493152-23-043017,Bone Biologics Corp,0001419554,2 BURLINGTON WOODS DRIVE,STE 100,BURLINGTON,MA,01803,729000,729000,29-NOV-2023,2023Q4
0001674649-23-000001,"Arrivo BioVentures, LLC",0001674649,3000 RDU Center Drive,Suite 130,MORRISVILLE,NC,27560,43194016,45250000,29-NOV-2023,2023Q4
0001170022-23-000009,"TOMI Environmental Solutions, Inc.",0000314227,8430 SPIRES WAY,,FREDERICK,MD,21701,2600000,5000000,28-NOV-2023,2023Q4
0001644516-23-000018,"MHR Acquisitions, Inc.",0001644516,One World Trade Center,85th floor,New York,NY,10038,0,300000,24-NOV-2023,2023Q4
0002001661-23-000002,Avantia Labs Inc.,0002001661,323 Daniel Rd,,Ambler,PA,19002,1700000,1700000,21-NOV-2023,2023Q4
0001992222-23-000001,"MEDPhlow, LLC",0001992222,424 Hull Street,Suite 400,RICHMOND,VA,23224,1000000,1500000,17-NOV-2023,2023Q4
0001939276-23-000001,"Certis Oncology Solutions, Inc.",0001939276,5626 OBERLIN DRIVE,SUITE 110,SAN DIEGO,CA,92121,3653090,10000000,17-NOV-2023,2023Q4
0001987607-23-000002,"GENIE Therapeutics, Inc.",0001987607,1207 DELAWARE AVENUE #1118,,WILMINGTON,DE,19806,0,Indefinite,17-NOV-2023,2023Q4
0001856578-23-000002,"AMPHP, INC.",0001856578,1090 Center Drive,,PARK CITY,UT,84098,32114924,32499999,16-NOV-2023,2023Q4
0001231919-23-000071,VYNE Therapeutics Inc.,0001566044,"685 ROUTE 202/206 N., SUITE 301",,BRIDGEWATER,NJ,08807,88151508,88151508,16-NOV-2023,2023Q4
0001420565-23-000002,AILERON THERAPEUTICS INC,0001420565,738 MAIN STREET,UNIT 398,WALTHAM,MA,02451,18254247,18254247,16-NOV-2023,2023Q4
0002000807-23-000001,Bondwell Technologies LP,0002000807,415 GRAHAM ROAD,,COLLEGE STATION,TX,77845,450756,450756,16-NOV-2023,2023Q4
0001864817-23-000001,"AmplifyBio, LLC",0001864817,1425 PLAIN CITY-GEORGESVILLE ROAD,BLDG JM-10,WEST JEFFERSON,OH,43162,49750000,100000000,15-NOV-2023,2023Q4
0001104659-23-118639,Serimmune Inc.,0001693808,"150 CASTILIAN DRIVE, SUITE 100",,GOLETA,CA,93117,11512176,16500000,15-NOV-2023,2023Q4
0001999472-23-000002,"Biowise Capital II, LLC",0001844785,"100 CRESCENT COURT,",#700,DALLAS,TX,75201,1100000,10000000,15-NOV-2023,2023Q4
0001846099-23-000001,"HEMOSHEAR THERAPEUTICS, INC.",0001846099,"501 LOCUST AVENUE, SUITE 301",,CHARLOTTESVILLE,VA,22902,3500000,8000000,14-NOV-2023,2023Q4
0001140361-23-052961,"GYRE THERAPEUTICS, INC.",0001124105,12770 High Bluff Drive,Suite 150,SAN DIEGO,CA,92130,5000000,5000000,13-NOV-2023,2023Q4
0001104659-23-117175,KORTUC INC.,0001976145,"545 MIDDLEFIELD ROAD, SUITE 205",,MENLO PARK,CA,94025,2783,2783,13-NOV-2023,2023Q4
0001999089-23-000001,Project Samri Inc.,0001999089,"6 LIBERTY SQUARE, #405",,BOSTON,MA,02109,10500001,10500001,13-NOV-2023,2023Q4
0001608318-23-000003,"NantBio, Inc.",0001608318,450 Duley Road,,El Segundo,CA,90245,75073925,75073925,13-NOV-2023,2023Q4
0001493152-23-040030,"Voltron Therapeutics, Inc.",0001835742,12 E 49TH STREET,11TH FLOOR,NEW YORK,NY,10017,3210680,Indefinite,09-NOV-2023,2023Q4
0001905406-23-000003,Goodsprout Co LLC,0001905406,2733 CULLEN ST.,,FORT WORTH,TX,76107,50000,Indefinite,09-NOV-2023,2023Q4
0001834504-23-000001,"BRAINBOX SOLUTIONS, INC.",0001834504,737 N 5th St.,Ste 304,RICHMOND,VA,23219,7089159,18499976,07-NOV-2023,2023Q4
0001602708-23-000001,"Foldax, Inc.",0001602708,825 N 300 W,,SALT LAKE CITY,UT,84103,7000000,Indefinite,07-NOV-2023,2023Q4
0001994702-23-000001,"Kyverna Therapeutics, Inc.",0001994702,5980 HORTON STREET,SUITE 550,EMERYVILLE,CA,94608,151999981,151999981,07-NOV-2023,2023Q4
0001825955-23-000003,"SONALASENSE, INC.",0001825955,1111 BROADWAY,SUITE 2040,OAKLAND,CA,94607,9765000,15000000,06-NOV-2023,2023Q4
0001761468-23-000001,"Cytonus Therapeutics, Inc.",0001761468,3280 Grey Hawk Ct.,,Carlsbad,CA,92010,11703095,21603089,06-NOV-2023,2023Q4
0001644600-23-000181,Quadrant Biosciences Inc,0001651239,505 IRVING AVENUE,SUITE 3100 A-B,SYRACUSE,NY,13210,0,25425000,02-NOV-2023,2023Q4
0000929638-23-002985,"Ayala Pharmaceuticals, Inc.",0001100397,9 DEER PARK DRIVE,SUITE K-1,MONMOUTH JUNCTION,NJ,08852,433825,433825,02-NOV-2023,2023Q4
0001493152-23-038912,"Aspire BioPharma, Inc.",0001995528,"194 CANDELERO DRIVE, #223",,HUMACAO,PR,00797,0,10000000,01-NOV-2023,2023Q4
0001668934-23-000001,"Opus KSD, Inc.",0001668934,50 Corporate Park Drive,,Pembroke,MA,02359,300000,1000000,31-OCT-2023,2023Q4
0001938187-23-000001,"Harpoon Therapeutics, Inc.",0001708493,"611 GATEWAY BOULEVARD, SUITE 400",,SOUTH SAN FRANCISCO,CA,94080,100162467,100162467,31-OCT-2023,2023Q4
0001801202-23-000001,"AmpSport, Inc.",0001801202,1208 Conway Road,,Decatur,GA,30030,500000,500000,30-OCT-2023,2023Q4
0001080368-23-000040,"Access Vascular, Inc.",0001714846,"175 MIDDLESEX TURNPIKE, SUITE 1A",,BEDFORD,MA,01730,20646440,31596440,30-OCT-2023,2023Q4
0000898432-23-000737,BIOLIFE SOLUTIONS INC,0000834365,3303 MONTE VILLA PARKWAY,,BOTHELL,WA,98021,10374976,10374976,27-OCT-2023,2023Q4
0001998307-23-000001,"Ilico Genetics, Inc.",0001998307,116 RESEARCH DRIVE,SUITE 141,BETHLEHEM,PA,18015,457735,Indefinite,27-OCT-2023,2023Q4
0001493152-23-038382,"Propanc Biopharma, Inc.",0001517681,"302, 6 BUTLER STREET",,"CAMBERWELL, VIC",C3,3124,61000,61000,26-OCT-2023,2023Q4
0001998555-23-000001,"TripleBar Bio, Inc.",0001998555,1250 45TH ST STE 315,,EMERYVILLE,CA,94608,19763632,20524996,25-OCT-2023,2023Q4
0001997857-23-000001,"ManaT Bio, Inc.",0001997857,1300 THAMES STREET,SUITE 20,BALTIMORE,MD,21231,72147626,152960126,25-OCT-2023,2023Q4
0001997276-23-000001,"BrightHorse Equine Performance, Inc.",0001997276,420 NORTH TWIN OAKS VALLEY ROAD,#2277,SAN MARCOS,CA,92069,200000,2500000,24-OCT-2023,2023Q4
0001567619-23-007572,"Mongoose Bio, Inc.",0001998401,609 MAIN STREET,SUITE 4200,HOUSTON,TX,77002,1000000,3000000,24-OCT-2023,2023Q4
0001104659-23-110750,"Aquyre Biosciences, Inc.",0001887377,133 BOSTON POST ROAD,,WESTON,MA,02493,3220502,10000000,23-OCT-2023,2023Q4
0001997642-23-000001,"PinkDx, Inc.",0001997642,ONE INDIANA SQUARE,SUITE 3500,INDIANAPOLIS,IN,46204,16984994,40000048,20-OCT-2023,2023Q4
0001630212-23-000003,Avalon GloboCare Corp.,0001630212,4400 ROUTE 9,SUITE 3100,FREEHOLD,NJ,07728,700000,700000,20-OCT-2023,2023Q4
0001983609-23-000004,"KINETA, INC./DE",0001445283,219 TERRY AVE. N.,SUITE 300,SEATTLE,WA,98109,0,2893176,20-OCT-2023,2023Q4
0001995076-23-000001,"Scion Neurostim, Inc.",0001995076,3225 SURREY ROAD,,DURHAM,NC,27707,9999978,10000000,19-OCT-2023,2023Q4
0001932193-23-000003,RS BioTherapeutics Inc.,0001932193,157 BALTIMORE STREET,,CUMBERLAND,MD,21502,1105000,5000000,19-OCT-2023,2023Q4
0001634457-23-000001,"Entopsis, Inc.",0001634457,7600 NW 69TH AVENUE,,MEDLEY,FL,33166,0,6000000,19-OCT-2023,2023Q4
0001782226-23-000001,"i2O Therapeutics, Inc.",0001782226,610 Main Street,,Cambridge,MA,02139,3500000,3987042,18-OCT-2023,2023Q4
0001080368-23-000039,"Rejoni, Inc.",0001824241,201 BURLINGTON RD.,,BEDFORD,MA,01730,26250000,26250000,18-OCT-2023,2023Q4
0001865086-23-000004,"Advanced Development of Additive Manufacturing, Inc.",0001865086,700 Canal St.,1st Floor,Stamford,CT,06902,200000,200000,18-OCT-2023,2023Q4
0001013762-23-004487,"Origin Life Sciences, Inc.",0001573901,2 RESEARCH WAY,THIRD FLOOR,PRINCETON,NJ,08540,51000,5000000,17-OCT-2023,2023Q4
0001997658-23-000001,Novastream Therapeutics Inc.,0001997658,5595 WASHINGTON STREET,,DENVER,CO,80216,50000,250000,17-OCT-2023,2023Q4
0001878646-23-000034,"AMICUS THERAPEUTICS, INC.",0001178879,47 Hulfish Street,,Princeton,NJ,08542,29999985,29999985,16-OCT-2023,2023Q4
0001876860-23-000003,"Apothewell, Inc.",0001876860,417 MAIN STREET,,LITTLE ROCK,AR,72201,45000,75000,13-OCT-2023,2023Q4
0001997408-23-000001,"Window Therapeutics, Inc.",0001997408,VENTURE DEVELOPMENT CENTER,100 MORRISSEY BOULEVARD,BOSTON,MA,02125-3393,7550000,7550000,13-OCT-2023,2023Q4
0001996977-23-000001,iQure Pharma Inc.,0001996977,3 KITTANSETT COURT,,SKILLMAN,NJ,08558,1500000,2000000,11-OCT-2023,2023Q4
0001416162-23-000001,"PanTheryx, Inc.",0001416162,4845 Pearl East Circle,Suite 101,Boulder,CO,80301,52289052,60000000,11-OCT-2023,2023Q4
0001789541-23-000002,"GABA Therapeutics, Inc.",0001789541,"5000 BIRCH STREET, WEST TOWER,",SUITE 3000,NEWPORT BEACH,CA,92660,500000,1000000,10-OCT-2023,2023Q4
0001540171-23-000001,Avalyn Pharma Inc.,0001540171,701 PIKE STREET,SUITE 1500,SEATTLE,WA,98101,189182622,189182622,10-OCT-2023,2023Q4
0001493152-23-036455,"Cell Source, Inc.",0001569340,"57 WEST 57TH STREET, SUITE 400",,NEW YORK,NY,10019,3905134,Indefinite,06-OCT-2023,2023Q4
0001484565-23-000001,SOLENO THERAPEUTICS INC,0001484565,203 REDWOOD SHORES PARKWAY,SUITE 500,REDWOOD CITY,CA,94065,59988250,59988250,04-OCT-2023,2023Q4
0001753420-23-000001,"ENB Therapeutics, Inc.",0001753420,C/O LAUNCHLABS,"430 E 29th St., 14TH Floor",NEW YORK,NY,10016,225000,1000000,03-OCT-2023,2023Q4
0001878281-23-000001,Avstera Therapeutics Corp.,0001878281,365 PHOENIXVILLE PIKE,,MALVERN,PA,19355,5000000,5000000,03-OCT-2023,2023Q4
0001752992-23-000001,"Euphrates Vascular, Inc.",0001752992,8460 Watson Road,Suite 112,St. Louis,MO,63119,9084802,9084802,03-OCT-2023,2023Q4
0001708527-23-000004,ELUTIA INC.,0001708527,12510 PROSPERITY DRIVE,SUITE 370,SILVER SPRING,MD,20904,10500000,10500000,03-OCT-2023,2023Q4
0001390478-24-000006,"SELLAS Life Sciences Group, Inc.",0001390478,7 TIMES SQUARE,SUITE 2503,NEW YORK,NY,10036,18371336,18371336,29-MAR-2024,2024Q1
0001722926-24-000001,ASLAN Pharmaceuticals Ltd,0001722926,3 TEMASEK AVENUE,Level 18 Centennial Tower,SINGAPORE,U0,039190,5000000,5000000,28-MAR-2024,2024Q1
0001104659-24-039702,"Certara, Inc.",0001827090,100 OVERLOOK CENTER,SUITE 101,PRINCETON,NJ,08540,0,Indefinite,27-MAR-2024,2024Q1
0001231919-24-000041,"DELCATH SYSTEMS, INC.",0000872912,566 QUEENSBURY AVENUE,,QUEENSBURY,NY,12804,7001113,7001113,26-MAR-2024,2024Q1
0001872608-24-000001,"Allevion Therapeutics, Inc.",0001872608,"18001 Cowan, Suite L",,IRVINE,CA,92614,1475000,1475000,26-MAR-2024,2024Q1
0002006498-24-000001,"Firefly Bio, Inc.",0002006498,2 TOWER PLACE UNIT 14A,,SOUTH SAN FRANCISCO,CA,94080,39999997,72000000,26-MAR-2024,2024Q1
0001730493-24-000002,IntraBio Inc.,0001730493,"201 W 5th Street, Suite 1100",,Austin,TX,78701,40267575,40999990,25-MAR-2024,2024Q1
0001445789-24-000001,"LungLife AI, Inc.",0001445789,"2545 W. HILLCREST DRIVE, SUITE 140",,THOUSAND OAKS,CA,91320,315780,315780,22-MAR-2024,2024Q1
0002016438-24-000001,"Chrysalis Biotherapeutics, Inc.",0002016438,"2200 MARKET ST, SUITE 606",,GALVESTON,TX,77550,515000,3000000,22-MAR-2024,2024Q1
0000950123-24-002952,GlycosBio Inc.,0001427515,2450 Holcombe,Suite J,Houston,TX,77021,1125000,5000000,21-MAR-2024,2024Q1
0001013594-24-000290,Paterna BioSciences HoldCo Inc.,0001989862,1865 West 2100 South,Suite 100,SALT LAKE CITY,UT,84119,2000000,9949122,21-MAR-2024,2024Q1
0001213900-24-024422,"Unicycive Therapeutics, Inc.",0001766140,"4300 EL CAMINO REAL, SUITE 210",,LOS ALTOS,CA,94022,50000000,50000000,20-MAR-2024,2024Q1
0001104659-24-036473,"Holobiome, Inc.",0001763027,650 ALBANY STREET,STE 127,BOSTON,MA,02118,6590554,9361054,20-MAR-2024,2024Q1
0002015437-24-000003,"Capstan Therapeutics, Inc.",0002015437,"9880 CAMPUS POINT DRIVE, SUITE 220",,SAN DIEGO,CA,92121,87499982,174999964,20-MAR-2024,2024Q1
0001599901-24-000045,"Avidity Biosciences, Inc.",0001599901,"10578 Science Center Drive, Suite 125",,San Diego,CA,92121,400208765,400208765,19-MAR-2024,2024Q1
0000950123-24-002925,NEKTAR THERAPEUTICS,0000906709,455 Mission Bay Boulevard South,,San Francisco,CA,94158,30000000,30000000,19-MAR-2024,2024Q1
0001731038-24-000001,"Lindy Biosciences, Inc.",0001731038,627 Davis Drive,Suite 400,Morrisville,NC,27560,1709637,2500000,19-MAR-2024,2024Q1
0002009614-24-000001,Aloe Therapeutics Inc.,0002009614,14517 BROOKMEAD DRIVE,,DARNESTOWN,MD,20874,100000,100000,18-MAR-2024,2024Q1
0001923417-24-000003,"GREENLAB, INC.",0001923417,2713 PAULA DRIVE,SUITE B,JONESBORO,AR,72404,1611006,2100000,18-MAR-2024,2024Q1
0001490953-24-000001,"Immunophotonics, Inc.",0001490953,4340 Duncan Ave.,Suite 212,St. Louis,MO,63110,1516746,4000000,15-MAR-2024,2024Q1
0001813688-24-000002,"Tempo Therapeutics, Inc.",0001813688,3030 BUNKER HILL STREET,SUITE 104,SAN DIEGO,CA,92109,16327664,16793660,15-MAR-2024,2024Q1
0002014349-24-000001,"FORAY bioscience, Inc.",0002014349,750 MAIN ST.,,CAMBRIDGE,MA,02139,3413246,3913246,14-MAR-2024,2024Q1
0001460602-24-000002,Orgenesis Inc.,0001460602,20271 GOLDENROD LANE,,GERMANTOWN,MD,20876,2340903,2340903,14-MAR-2024,2024Q1
0000950172-24-000045,"Applied Therapeutics, Inc.",0001697532,"545 FIFTH AVENUE, SUITE 1400",,NEW YORK,NY,10017,99997998,99997998,13-MAR-2024,2024Q1
0001915384-24-000001,"Zephyr AI, Inc.",0001915384,"1800 Tysons Blvd, Suite 901",,McLean,VA,22102,111354487,120663249,13-MAR-2024,2024Q1
0001913179-24-000002,"PiroGon, Inc.",0001913179,"154 STATE STREET, SUITE 106",,NORTH HAVEN,CT,06473,1335000,1335000,12-MAR-2024,2024Q1
0000925421-24-000002,"Crinetics Pharmaceuticals, Inc.",0001658247,6055 LUSK BOULEVARD,,SAN DIEGO,CA,92121,350000028,350000028,11-MAR-2024,2024Q1
0002014918-24-000001,Neurock Pharmaceuticals Inc.,0002014918,"302 CARNEGIE CENTER, SUITE 100",,PRINCETON,NJ,08540,10000000,10000000,11-MAR-2024,2024Q1
0001893252-24-000002,X-Therma Inc.,0001893252,625 ALFRED NOBEL DR.,,HERCULES,CA,945471815,22378696,22378696,08-MAR-2024,2024Q1
0001659031-24-000001,"Bugworks Research, Inc.",0001659031,13962 Pierce Road,,Saratoga,CA,95070,6779976,15779970,08-MAR-2024,2024Q1
0001429819-24-000004,"CALOSYN PHARMA, INC.",0001429819,2031 Kings Highway,,Shreveport,LA,71103,750000,2000000,07-MAR-2024,2024Q1
0000945621-24-000282,vTv Therapeutics Inc.,0001641489,3980 PREMIER DR,SUITE 310,HIGH POINT,NC,27265,50961457,50961457,07-MAR-2024,2024Q1
0002013357-24-000002,"Vytala, Inc.",0002013357,603 ONEIDA LANE,,DOWNINGTOWN,PA,19335,805000,1500000,07-MAR-2024,2024Q1
0002014586-24-000001,"Remunix, Inc.",0002014586,564 FIRST AVE.,APT. 21 H,NEW YORK,NY,10016,15700000,16000000,06-MAR-2024,2024Q1
0001716170-24-000001,"Expanesthetics, Inc",0001716170,1450 DREW AVE.,SUITE 100,DAVIS,X1,95618,372300,372300,04-MAR-2024,2024Q1
0001831601-24-000002,"Focal Medical, Inc.",0001831601,111 James Jackson Avenue,SUITE 131,Cary,NC,27513,950000,950000,04-MAR-2024,2024Q1
0001678766-24-000004,"InGeneron, Inc.",0001678766,8205 EL RIO,,HOUSTON,TX,77054,1749181,1749181,04-MAR-2024,2024Q1
0001714899-24-000088,Denali Therapeutics Inc.,0001714899,161 OYSTER POINT BLVD.,,SOUTH SAN FRANCISCO,CA,94080,499732711,499732711,01-MAR-2024,2024Q1
0001938657-24-000001,RYNE Biotechnology Inc.,0001938657,ONE BROADWAY,14TH FLOOR KENDALL SQUARE,CAMBRIDGE,MA,02142,30000000,81832753,01-MAR-2024,2024Q1
0002013787-24-000001,"M Chest Institutional Pharmacy Group, LLC",0002013787,3160 PARK CENTER DR.,,TYLER,TX,75701,3700000,Indefinite,01-MAR-2024,2024Q1
0001953909-24-000001,"Cybele Microbiome, Inc.",0001953909,3210 MERRYFIELD ROW,,SAN DIEGO,CA,92121,252000,500000,01-MAR-2024,2024Q1
0002013052-24-000003,"Radiance Biopharma, Inc.",0002013052,ONE BOSTON PLACE,SUITE 2600,BOSTON,MA,02108,250000,30000000,28-FEB-2024,2024Q1
0001869472-24-000002,Fidelis Animal Health Inc.,0001869472,"685 US HIGHWAY ONE, SUITE 265",,NORTH BRUNSWICK,NJ,08902,1000017,2000001,28-FEB-2024,2024Q1
0001682809-24-000001,"eGenesis, Inc.",0001682809,"101 CAMBRIDGEPARK DR., SUITE 200",,CAMBRIDGE,MA,02140,25419995,28719296,27-FEB-2024,2024Q1
0001707315-24-000001,"Thunder Biotech, Inc.",0001707315,395 Cougar Blvd.,SUITE 103,PROVO,UT,84604,100000,2500000,26-FEB-2024,2024Q1
0002010585-24-000002,"Adverum Biotechnologies, Inc.",0001501756,100 CARDINAL WAY,,REDWOOD CITY,CA,94063,127800000,127800000,21-FEB-2024,2024Q1
0002012473-24-000001,Keraplast Manufacturing,0002012473,CORNER OF SPRINGS ROAD AND GERALD ST.,,LINCOLN,Q2,7608,1264782,1264782,21-FEB-2024,2024Q1
0000946644-24-000001,AIM ImmunoTech Inc.,0000946644,2117 SW HIGHWAY 484,,OCALA,FL,32801,3301250,3301250,20-FEB-2024,2024Q1
0001956083-24-000001,NeuroX Innovations Inc.,0001956083,8480 E ORCHARD ROAD,SUITE 4900,GREENWOOD VILLAGE,CO,80111,995000,2500000,20-FEB-2024,2024Q1
0001732150-24-000001,"Vektor Medical, Inc.",0001732150,9255 Towne Centre Drive,Suite 750,San Diego,CA,92121,28898880,37498887,20-FEB-2024,2024Q1
0002011516-24-000001,"Glyphic Biotechnologies, Inc.",0002011516,169 MADISON AVENUE,#2216,NEW YORK,NY,10016,33179812,52917435,16-FEB-2024,2024Q1
0001062993-24-003280,MyndTec Inc.,0001777607,"1900 Minnesota Court, Suite 122",,Mississauga,A6,L5N 3C9,100000,220000,15-FEB-2024,2024Q1
0001231919-24-000017,Graviton BioScience Corp,0001847048,125 West End Ave,Suite 301,New York,NY,10023,24999996,24999996,14-FEB-2024,2024Q1
0001592082-24-000001,"Provell Pharmaceuticals, LLC",0001592082,1801 HORESHOE PIKE,,HONEY BROOK,PA,19341,600000,600000,14-FEB-2024,2024Q1
0002004651-24-000001,Seedling Biosystems Inc.,0002004651,4967 10TH STREET,,BOULDER,CO,80304,150000,150000,14-FEB-2024,2024Q1
0001959209-24-000001,"NextPoint Therapeutics, Inc.",0001959209,238 MAIN STREET,,CAMBRIDGE,MA,02142,42479388,42479388,14-FEB-2024,2024Q1
0002002037-24-000001,"Companion Spine, LLC",0002002037,505 PARK AVE.,14TH FLOOR,NEW YORK,NY,10022,8500000,20000000,14-FEB-2024,2024Q1
0001944599-24-000001,"Tyra Biosciences, Inc.",0001863127,2656 STATE STREET,,CARLSBAD,CA,92008,199999934,199999934,13-FEB-2024,2024Q1
0001736293-24-000001,"SeLux Diagnostics, Inc.",0001736293,56 ROLAND STREET,SUITE 206,CHARLESTOWN,MA,02129,40000000,45000000,13-FEB-2024,2024Q1
0001709941-24-000002,"BioAge Labs, Inc.",0001709941,1445A SOUTH 50TH STREET,,RICHMOND,CA,94804,194390799,194390799,13-FEB-2024,2024Q1
0002006708-24-000001,Seren Bio Corp.,0002006708,541 GARDENA CT,,ENCINITAS,CA,92024,55000,490000,12-FEB-2024,2024Q1
0001756982-24-000003,"Octagon Therapeutics, Inc.",0001756982,225 DYER ST.,,PROVIDENCE,RI,02903,10970135,12410030,12-FEB-2024,2024Q1
0001516551-24-000003,"Skye Bioscience, Inc.",0001516551,"11250 EL CAMINO REAL, SUITE 100",,SAN DIEGO,CA,92130,49991010,49991010,12-FEB-2024,2024Q1
0000897069-24-000295,"BlueWillow Biologics, Inc.",0001172083,2311 GREEN ROAD,SUITE A,ANN ARBOR,MI,48105,850000,3000000,12-FEB-2024,2024Q1
0001797582-24-000002,"Attralus, Inc.",0001797582,337 C Beach Road,,Burlingame,CA,94010,55999931,55999931,09-FEB-2024,2024Q1
0002010931-24-000001,iLumisAR Inc.,0002010931,"114 BARRINGTON TOWN SQUARE, SUITE 225",,AURORA,OH,44202,3199999,3199999,07-FEB-2024,2024Q1
0001213900-24-010974,Clearmind Medicine Inc.,0001892500,101 - 1220 WEST 6TH AVENUE,,VANCOUVER,A1,V6H1A5,2400000,2400000,07-FEB-2024,2024Q1
0001936994-24-000001,Novasenta Inc.,0001936994,350 TECHNOLOGY DRIVE,SUITE 501,PITTSBURGH,PA,15219,15000000,30000000,06-FEB-2024,2024Q1
0001486189-24-000008,"Cardio Diagnostics Holdings, Inc.",0001870144,311 W. SUPERIOR STREET,SUITE 444,CHICAGO,IL,60645,1000000,1000000,06-FEB-2024,2024Q1
0001862032-24-000002,"Seranova Bio, Inc.",0001862032,329 OYSTER POINT Boulevard,3FL,SOUTH SAN FRANCISCO,CA,94080,9999995,9999995,05-FEB-2024,2024Q1
0001178913-24-000357,RedHill Biopharma Ltd.,0001553846,21 HA'ARBA'A STREET,,TEL AVIV,L3,6473921,10000000,10000000,05-FEB-2024,2024Q1
0001845459-24-000001,"Kura Oncology, Inc.",0001422143,"12730 HIGH BLUFF DRIVE, SUITE 400",,SAN DIEGO,CA,92130,150000808,150000808,05-FEB-2024,2024Q1
0001213900-24-009722,"Allarity Therapeutics, Inc.",0001860657,"24 SCHOOL ST., 2ND FLOOR",,BOSTON,MA,02108,400000,1400000,02-FEB-2024,2024Q1
0001785410-24-000001,"Solenic Medical, Inc.",0001785410,4275 Kellway Cir.,Ste. 146,Addison,TX,75001,2195000,4000000,02-FEB-2024,2024Q1
0001649024-24-000001,"Amytrx Therapeutics, Inc.",0001649024,40 Burton Hills Boulevard,Suite 200,NASHVILLE,TN,37215,725000,6000000,31-JAN-2024,2024Q1
0002010024-24-000001,"resistanceBio, Inc.",0002010024,980 O'BRIEN DR,,MENLO PARK,CA,94025,12776288,12776288,31-JAN-2024,2024Q1
0002009791-24-000001,"BioNADrx Holdings, Inc.",0002009791,"207 N. BOONE STREET, SUITE 15",,JOHNSON CITY,TN,37604,125000,10000000,30-JAN-2024,2024Q1
0001938281-24-000001,"CorriXR Therapeutics, Inc.",0001938281,"550 S. College Avenue, Suite 107",,Newark,DE,19713,6525179,8028610,29-JAN-2024,2024Q1
0001830351-24-000001,"Dome Therapeutics, LLC",0001830351,7280 OAKMONT COURT,,PORTE VEDRA BEACH,FL,32082,100007,300023,29-JAN-2024,2024Q1
0001879148-24-000002,Jnana Therapeutics Inc.,0001879148,One Design Center Place,Suite 19-400,BOSTON,MA,02210,106999997,106999997,26-JAN-2024,2024Q1
0002009723-24-000001,"SingleTimeMicroneedles, Inc.",0002009723,400 FARMINGTON AVE.,RM 1844,FARMINGTON,CT,06032,350000,350000,26-JAN-2024,2024Q1
0001927878-24-000001,"Ora Biomedical, Inc.",0001927878,12101 Tukwila International Blvd,Suite 210,Tukwila,WA,98168,720000,1020000,26-JAN-2024,2024Q1
0002001594-24-000002,"PurCell Bio, Inc",0002001594,770 OSTERMAN DRIVE,UNIT B,BOZEMAN,MT,59715,695000,1300000,25-JAN-2024,2024Q1
0000932352-24-000002,"Vaneltix Pharma, Inc.",0000932352,317 GEORGE STREET,SUITE 400,NEW BRUNSWICK,NJ,08901,1000000,5000000,24-JAN-2024,2024Q1
0002009058-24-000002,"Myrobalan Therapeutics Holding, Inc.",0002009058,"200 BOSTON AVENUE, SUITE G750",,MEDFORD,MA,02155,24049258,24049258,24-JAN-2024,2024Q1
